School,FG,FGA,3P,FT,FTA,ORB,TOV,DRB,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TOV,opp_DRB
Baylor 2016,933,2003,210,545,752,467,432,800,823,1843,233,485,693,314,463,697
Buffalo 2016,915,2096,263,616,867,425,475,938,906,2098,256,566,790,378,464,895
Butler 2016,918,1969,236,566,774,366,335,822,818,1879,231,477,672,309,432,773
Cal State Bakersfield 2016,875,1939,179,476,726,414,405,849,696,1764,198,514,747,347,499,781
University of California 2016,890,1931,236,529,806,386,419,963,789,1989,183,528,745,327,329,799
Chattanooga 2016,897,1963,262,596,811,381,437,860,866,1967,235,397,584,344,494,789
Cincinnati 2016,851,1980,252,464,658,441,363,850,750,1907,240,350,515,373,446,763
Colorado 2016,865,2029,252,594,808,446,454,988,852,2038,212,491,716,322,371,818
Connecticut 2016,944,2078,255,488,615,335,385,965,785,2032,240,475,719,393,431,849
Dayton 2016,836,1836,221,500,749,327,427,938,761,1882,242,412,618,299,412,814
Duke 2016,983,2136,328,626,866,426,354,870,998,2244,226,387,568,456,427,866
Fairleigh Dickinson 2016,929,2029,238,462,663,347,423,761,868,1901,247,617,888,417,510,868
Florida Gulf Coast 2016,1008,2106,186,501,778,417,438,1005,877,2128,232,487,713,385,422,850
Fresno State 2016,926,2126,219,559,805,409,378,884,812,1929,252,599,859,368,529,907
Gonzaga 2016,1011,2081,281,537,708,382,418,1044,859,2167,214,428,610,359,370,800
Green Bay 2016,1048,2350,255,662,1007,458,441,927,1013,2255,278,576,807,432,609,1026
Hampton 2016,810,1967,206,537,815,447,440,875,826,1934,215,503,696,324,393,845
Hawaii 2016,893,1946,237,597,873,360,443,910,764,1910,203,536,748,321,498,803
Holy Cross 2016,775,1879,251,466,678,279,386,773,859,1873,273,454,626,323,450,930
Indiana 2016,1021,2034,345,504,688,414,474,874,905,2037,218,419,615,356,458,704
Iona 2016,919,2011,327,463,651,348,422,870,844,1993,257,506,724,390,460,844
Iowa State 2016,1087,2159,293,395,563,304,398,940,986,2250,268,385,560,401,425,860
Iowa 2016,906,2027,269,480,669,392,339,865,850,2021,242,345,505,390,431,839
Kansas 2016,1092,2207,304,601,843,402,478,1041,873,2200,233,591,816,392,490,842
Kentucky 2016,1028,2149,244,561,813,451,389,944,827,2082,201,596,848,433,437,776
Maryland 2016,943,1941,267,572,745,319,458,969,874,2145,240,412,579,398,407,795
Miami (FL) 2016,907,1895,241,578,772,330,383,877,865,2008,210,419,584,357,404,772
Michigan State 2016,1009,2078,321,454,623,415,406,1039,774,2025,204,493,690,329,333,726
