School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Colgate,760,1719,211,394,590,299,1021,340
College of Charleston,702,1657,191,536,786,356,1180,377
Colorado State,773,1832,237,398,607,297,1083,406
Colorado,807,1904,249,454,645,338,1100,384
Columbia,612,1417,139,374,536,255,850,286
Connecticut,738,1865,209,416,608,373,1142,388
Coppin State,897,1867,215,549,783,408,1326,445
Cornell,605,1556,191,437,634,314,1092,392
Creighton,779,1781,242,407,595,309,1073,361
Dartmouth,610,1416,192,417,606,257,923,391
Davidson NCAA,814,1838,181,412,646,351,1132,370
Dayton NCAA,795,1901,206,394,582,344,1184,489
Delaware State,917,2162,264,509,744,428,1339,415
Delaware,755,1754,243,408,582,344,1119,311
Denver,629,1328,147,485,680,239,859,361
DePaul,789,1715,166,610,835,371,1144,406
Detroit Mercy,772,1721,235,556,801,319,1117,496
Drake,754,1582,223,339,484,283,910,312
Drexel,694,1555,165,377,556,301,1039,344
Duke NCAA,962,2281,199,379,548,428,1227,481
Duquesne,800,1842,283,420,619,383,1124,337
East Carolina,786,1768,199,405,598,368,1153,405
East Tennessee State,697,1647,255,491,697,338,1082,444
Eastern Illinois,757,1818,219,403,565,387,1183,399
Eastern Kentucky,732,1633,257,379,563,334,1100,612
Eastern Michigan,737,1911,241,515,751,432,1302,527
Eastern Washington NCAA,901,2001,279,507,708,363,1185,431
Elon,801,1806,208,519,777,349,1225,488
Evansville,846,1971,238,431,605,345,1131,490
Fairfield,713,1629,148,467,695,356,1118,360
Fairleigh Dickinson,705,1532,184,536,775,377,1145,462
Florida A&M,766,1633,216,367,570,348,1114,352
Florida Atlantic,718,1567,98,400,574,298,1019,321
Florida Gulf Coast,739,1870,191,416,617,385,1158,368
Florida International,743,1816,225,442,682,378,1144,426
Florida State,766,1825,193,485,692,366,1069,393
Florida,673,1648,170,464,623,307,1058,452
Fordham,734,1663,213,463,688,307,1024,388
Fresno State,718,1660,197,490,707,336,1111,428
Furman,801,1784,224,419,634,345,1093,360
Gardner-Webb,978,2082,230,409,598,375,1229,432
George Mason,712,1646,203,520,727,324,1018,379
George Washington,786,1945,213,384,563,382,1147,411
Georgetown NCAA,698,1716,220,537,756,352,1056,438
Georgia Southern,660,1680,190,355,526,348,1100,448
Georgia State NCAA,709,1826,251,515,721,416,1166,535
Georgia Tech,723,1644,172,384,555,258,962,363
Georgia NCAA,733,1882,207,451,645,358,1117,365
Gonzaga NCAA,841,2154,217,444,667,403,1157,429
Grambling,757,1642,188,403,635,346,1034,328
Grand Canyon,788,1790,175,437,643,375,1126,339
Green Bay,697,1719,172,440,659,339,1093,449
Hampton NCAA,795,1924,197,600,876,392,1285,491
Hartford,667,1503,169,421,623,280,1045,409
Harvard NCAA,614,1519,164,335,497,280,929,386
Hawaii,790,1913,224,583,806,415,1268,583
High Point,791,1817,250,399,568,345,1071,443
Hofstra,827,1889,216,518,731,333,1161,465
Holy Cross,702,1496,180,436,610,260,980,421
Houston Baptist,700,1577,178,485,682,296,884,345
Houston,758,1743,195,386,579,368,1164,412
Howard,659,1697,211,475,681,380,1060,454
Idaho State,704,1614,252,415,560,316,1025,365
Idaho,764,1700,265,476,695,277,966,326
Illinois-Chicago,857,1794,208,467,679,301,1167,403
Illinois State,744,1795,193,489,709,343,1109,472
Illinois,751,1784,211,387,542,304,1115,425
Incarnate Word,777,1724,179,447,619,326,1040,383
Indiana State,724,1699,198,455,621,329,1082,425
Indiana NCAA,900,1986,196,442,651,374,1122,364
Iona,937,2208,250,440,630,454,1320,415
Iowa State NCAA,866,2081,248,366,499,377,1196,440
Iowa NCAA,754,1903,227,384,553,371,1136,417
Fort Wayne,773,1733,208,327,457,272,990,345
IUPUI,714,1575,189,463,659,273,976,426
Jackson State,639,1511,192,562,817,285,1045,475
Jacksonville State,753,1680,175,445,667,356,1163,388
Jacksonville,805,1727,235,458,652,336,1141,421
James Madison,796,1832,248,414,584,361,1093,381
Kansas State,716,1613,172,438,661,311,969,409
Kansas NCAA,825,2084,210,473,704,434,1227,421
Kennesaw State,841,1873,211,470,671,401,1200,352
Kent State,760,1856,176,506,721,390,1180,404
Kentucky NCAA,750,2116,175,443,672,463,1215,533
La Salle,732,1781,166,425,613,353,1144,434
Lafayette NCAA,886,1921,274,363,521,378,1090,362
Lamar,723,1598,197,489,716,319,989,449
Lehigh,696,1735,236,372,543,342,1041,356
Liberty,745,1780,254,476,702,364,1074,389
Lipscomb,764,1701,262,532,795,321,1128,406
Long Beach State,765,1801,225,466,662,391,1178,462
Long Island University,760,1755,178,437,625,339,1145,381
Longwood,838,1844,250,565,830,409,1270,505
Louisiana,897,2107,202,524,767,368,1191,486
Louisiana-Monroe,820,2116,222,437,609,402,1277,441
Louisiana State NCAA,824,2052,185,400,604,438,1219,450
Louisiana Tech,861,2044,201,439,637,450,1369,561
Louisville NCAA,767,1958,189,431,652,400,1256,506
Loyola (IL),818,1893,226,373,551,373,1120,462
Loyola Marymount,766,1672,252,404,572,337,1027,356
Loyola (MD),676,1527,166,467,685,279,1010,337
Maine,804,1639,225,411,602,300,1083,382
Manhattan NCAA,736,1683,148,614,880,357,1128,545
Marist,773,1762,201,452,647,388,1245,441
Marquette,762,1787,234,387,542,398,1147,438
Marshall,818,1916,218,434,685,396,1264,432
Maryland-Baltimore County,720,1604,203,370,530,297,1038,383
Maryland-Eastern Shore,763,1705,215,475,700,337,1027,459
Maryland NCAA,800,2026,242,376,570,399,1170,391
Massachusetts-Lowell,691,1489,208,338,494,263,1017,437
Massachusetts,810,1860,191,444,655,360,1108,386
McNeese State,795,1764,212,408,598,377,1157,388
Memphis,694,1749,164,467,677,363,1060,406
Mercer,771,1869,262,392,595,383,1153,424
Miami (FL),888,2111,232,396,602,390,1287,417
Miami (OH),755,1654,235,481,696,297,1060,438
Michigan State NCAA,833,2104,224,592,820,378,1247,416
Michigan,764,1702,208,310,444,310,1090,387
Middle Tennessee,773,1761,201,500,731,289,1118,472
Milwaukee,759,1683,186,373,524,291,1007,320
Minnesota,783,1794,240,427,608,373,1171,553
Mississippi State,713,1713,210,396,622,347,1017,388
Mississippi Valley State,928,1917,232,474,704,440,1328,478
Mississippi NCAA,762,1885,270,532,777,391,1197,430
Missouri-Kansas City,768,1705,207,459,672,384,1172,539
Missouri State,686,1614,199,418,591,294,993,326
Missouri,726,1691,206,515,735,355,1130,353
Monmouth,703,1758,255,449,654,384,1131,457
Montana State,735,1588,181,501,701,273,1037,347
Montana,737,1690,229,516,718,300,1052,440
Morehead State,717,1651,182,639,909,296,1053,507
Morgan State,767,1604,176,489,693,324,1197,441
Mount St. Mary's,702,1578,162,379,561,314,1050,411
Murray State,811,1980,227,518,727,410,1158,462
Navy,716,1578,230,397,561,281,998,404
Omaha,781,1679,218,476,652,279,1006,440
Nebraska,657,1627,208,435,627,323,1085,415
Nevada-Las Vegas,771,1952,205,378,569,407,1220,355
Nevada,707,1711,198,449,676,359,1040,313
New Hampshire,672,1667,169,460,667,252,1024,377
New Mexico State NCAA,754,1774,129,396,572,339,983,448
New Mexico,643,1601,210,370,526,268,933,361
New Orleans,753,1565,181,446,688,302,957,446
Niagara,762,1618,215,415,588,282,1011,358
Nicholls State,689,1574,178,561,784,342,1022,403
NJIT,722,1801,219,566,765,383,1128,436
Norfolk State,763,1863,251,477,728,367,1057,423
North Carolina-Asheville,742,1749,200,499,726,365,1098,411
North Carolina A&T,714,1683,218,466,683,372,1074,392
North Carolina Central,594,1649,163,470,696,342,992,439
North Carolina-Greensboro,767,1742,223,580,814,328,1122,422
North Carolina State NCAA,827,2052,212,501,712,402,1247,349
North Carolina-Wilmington,737,1736,176,550,803,363,1144,449
North Carolina NCAA,889,2232,247,591,843,460,1250,468
North Dakota State NCAA,727,1726,213,388,525,248,1043,347
North Dakota,765,1644,187,484,680,289,1068,400
North Florida NCAA,879,2033,176,451,666,400,1187,425
North Texas,727,1729,232,427,633,364,1115,424
Northeastern NCAA,875,1952,193,336,488,291,980,349
Northern Arizona,888,2064,215,565,786,344,1247,418
Northern Colorado,753,1584,244,453,645,331,997,399
Northern Illinois,672,1525,221,424,612,289,931,417
Northern Iowa NCAA,684,1732,211,333,468,301,991,391
Northern Kentucky,684,1588,197,514,714,297,1008,325
Northwestern State,955,2021,241,505,720,458,1289,495
Northwestern,724,1740,237,381,571,347,1073,305
Notre Dame NCAA,946,2214,227,380,533,435,1243,425
Oakland,887,1896,250,458,647,328,1106,366
Ohio State NCAA,790,1959,238,384,545,401,1168,503
Ohio,764,1775,221,417,571,331,1096,313
Oklahoma State NCAA,675,1673,183,478,697,352,1099,438
Oklahoma NCAA,794,2057,225,383,585,432,1277,468
Old Dominion,672,1678,204,451,685,305,1084,451
Oral Roberts,829,1859,208,477,675,345,1173,444
Oregon State,576,1494,184,498,673,326,1044,456
Oregon NCAA,902,2136,232,514,739,418,1252,413
Pacific,706,1589,208,495,694,298,994,317
Penn State,750,1879,204,546,780,380,1216,405
Pennsylvania,637,1441,201,407,573,258,871,322
Pepperdine,719,1742,142,392,588,362,1100,392
Pittsburgh,785,1752,194,466,657,331,1070,368
Portland State,754,1656,215,375,512,311,1034,359
Portland,787,1819,200,479,655,331,1047,375
Prairie View,765,1750,156,594,893,450,1269,553
Presbyterian,790,1785,287,347,499,357,1065,349
Princeton,676,1548,170,450,637,254,956,361
Providence NCAA,760,1804,218,489,709,334,1093,442
Purdue NCAA,749,1868,200,497,717,376,1087,394
Quinnipiac,711,1787,193,411,597,313,989,286
Radford,824,1925,183,470,672,385,1142,432
Rhode Island,678,1688,120,510,772,336,1082,481
Rice,736,1685,194,441,670,338,1069,404
Richmond,768,1846,164,442,618,392,1233,467
Rider,706,1712,215,476,646,325,1116,466
Robert Morris NCAA,837,1941,241,482,730,446,1262,512
Rutgers,771,1775,225,383,568,347,1164,378
Sacramento State,812,1743,221,405,563,330,1042,414
Sacred Heart,836,1939,229,466,652,396,1175,423
Saint Francis (PA),744,1718,194,368,517,324,1091,417
Saint Joseph's,722,1702,199,356,533,327,1095,383
Saint Louis,729,1607,190,474,700,322,1096,436
Saint Mary's (CA),710,1660,176,388,548,254,902,303
Saint Peter's,654,1654,187,553,758,332,1103,443
Sam Houston State,724,1857,171,482,746,343,1153,501
Samford,789,1679,204,519,770,345,1099,460
San Diego State NCAA,716,1864,181,326,469,351,1152,470
San Diego,675,1566,147,452,652,317,1049,418
San Francisco,739,1739,225,464,667,338,1093,403
San Jose State,725,1574,205,431,656,293,1112,344
Santa Clara,728,1622,210,470,672,339,1084,371
Savannah State,678,1439,153,501,722,300,1040,498
Seattle,715,1801,236,429,593,319,1020,370
Seton Hall,752,1749,167,436,663,363,1100,371
Siena,734,1625,201,620,828,371,1065,441
South Alabama,878,1994,199,483,688,396,1207,360
South Carolina State,789,1776,218,407,625,361,1237,438
South Carolina Upstate,783,1992,246,386,581,418,1233,491
South Carolina,658,1699,196,534,744,355,1103,456
South Dakota State,782,1912,207,506,771,361,1194,431
South Dakota,815,1822,215,467,633,291,1110,387
South Florida,736,1742,216,501,736,393,1139,392
Southeast Missouri State,703,1611,204,454,660,315,1036,413
Southeastern Louisiana,813,1844,238,460,635,363,1122,429
Southern California,811,1923,224,425,600,408,1205,427
SIU Edwardsville,657,1547,179,391,577,307,987,382
Southern Illinois,690,1553,211,453,621,250,973,436
Southern Methodist NCAA,691,1815,268,382,562,357,1016,441
Southern Mississippi,707,1553,226,338,491,318,990,373
Southern Utah,709,1568,177,551,789,284,1002,322
Southern,744,1908,181,557,833,436,1276,484
St. Bonaventure,707,1677,209,382,569,314,1028,401
St. Francis (NY),783,1839,179,517,740,337,1126,471
St. John's (NY) NCAA,793,1948,230,424,649,444,1293,436
Stanford,867,2048,247,510,747,360,1207,424
Stephen F. Austin NCAA,730,1665,155,571,821,316,994,587
Stetson,806,1837,252,426,589,377,1172,345
Stony Brook,736,1858,226,404,576,300,1105,400
Syracuse,699,1724,203,364,517,348,1087,436
Temple,803,2040,210,447,683,395,1368,455
Tennessee-Martin,805,1859,245,369,521,286,1036,354
Tennessee State,712,1666,229,458,679,346,1117,366
Tennessee Tech,723,1613,204,445,657,290,967,397
Tennessee,673,1533,244,465,667,322,996,445
Texas A&M-Corpus Christi,725,1731,197,545,789,378,1121,459
Texas A&M,703,1749,232,439,637,324,1045,414
Texas-Arlington,727,1781,228,524,735,387,1130,432
Texas Christian,684,1708,140,550,820,386,1127,431
Texas-El Paso,760,1832,197,387,584,352,1108,406
Texas-Rio Grande Valley,772,1754,220,415,574,391,1120,381
Texas-San Antonio,756,1678,240,359,495,311,1004,411
Texas Southern NCAA,882,1983,193,429,656,422,1194,431
Texas State,642,1561,159,411,574,316,1079,478
Texas Tech,712,1668,217,418,619,337,1043,408
Texas NCAA,702,1910,204,441,665,372,1063,303
Toledo,844,1935,234,421,599,353,1075,361
Towson,689,1668,185,517,736,318,979,298
Troy,738,1678,198,339,478,346,1033,383
Tulane,722,1615,158,382,584,289,1023,414
Tulsa,722,1835,239,381,581,345,1177,439
UCLA NCAA,855,2054,281,462,664,371,1233,438
Utah State,719,1782,189,346,523,393,1158,337
Utah Valley,673,1562,182,395,555,283,998,334
Utah NCAA,704,1832,169,422,617,342,1040,408
Valparaiso NCAA,689,1802,228,415,589,323,1040,415
Vanderbilt,789,1941,216,458,662,409,1119,407
Vermont,679,1757,158,496,701,335,1077,439
Villanova NCAA,797,1964,193,406,597,392,1163,508
Virginia Commonwealth NCAA,822,1892,229,495,716,367,1319,577
VMI,873,1845,154,528,772,367,1262,505
Virginia Tech,810,1844,252,417,623,406,1188,403
Virginia NCAA,622,1697,191,314,486,280,969,359
Wagner,721,1542,200,564,816,287,1022,424
Wake Forest,825,1834,218,439,645,296,1100,379
Washington State,866,1850,205,436,630,324,1110,299
Washington,765,1816,177,398,575,375,1101,346
Weber State,753,1680,167,368,516,303,994,334
West Virginia NCAA,762,1626,191,623,903,312,1169,678
Western Carolina,714,1681,243,613,858,374,1120,462
Western Illinois,698,1578,181,406,577,269,1054,326
Western Kentucky,765,1817,209,410,606,339,1126,429
Western Michigan,810,1827,264,470,653,333,1090,427
Wichita State NCAA,691,1721,187,439,634,304,1077,464
William & Mary,789,1838,243,387,561,334,1076,376
Winthrop,742,1817,198,477,686,376,1143,434
Wisconsin NCAA,896,2092,202,333,469,297,1106,378
Wofford NCAA,737,1763,173,442,629,300,1089,445
Wright State,722,1602,187,476,648,295,1060,404
Wyoming NCAA,715,1775,219,325,462,298,1052,377
Xavier NCAA,886,2035,261,459,678,345,1145,464
Yale,698,1679,171,364,538,298,956,389
Youngstown State,843,1858,240,468,667,371,1173,392
