School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Nevada,778,1827,191,532,749,373,1132,398
New Hampshire,639,1560,157,391,585,316,1095,370
New Mexico State,825,1875,207,459,686,379,1140,498
New Mexico,813,1923,226,456,688,342,1091,461
Niagara,795,1809,190,470,695,437,1316,494
Nicholls State,576,1294,139,439,611,268,909,477
NJIT,675,1596,201,501,730,295,1065,433
Norfolk State,791,1831,194,614,876,395,1157,415
North Carolina-Asheville NCAA,803,1925,218,509,747,440,1246,592
North Carolina A&T,850,2066,277,395,549,495,1283,446
North Carolina Central,719,1622,184,481,675,354,1041,470
North Carolina-Greensboro,850,1796,247,554,780,375,1135,440
North Carolina State,789,1862,163,443,602,407,1135,358
North Carolina-Wilmington,750,1728,214,353,539,407,1089,374
North Carolina NCAA,948,2339,267,382,580,454,1343,526
North Dakota State,727,1643,153,455,625,307,935,383
North Dakota,799,1872,204,525,761,328,1189,473
North Florida,866,1981,178,521,780,502,1269,498
North Texas,854,1934,190,460,677,361,1072,384
Northeastern,751,1584,193,488,679,336,1016,389
Northern Arizona,716,1749,193,453,639,364,1058,426
Northern Colorado NCAA,682,1660,238,503,711,305,995,443
Northern Illinois,756,1711,190,497,731,316,1074,359
Northern Iowa,724,1630,216,382,549,265,1051,412
Northwestern State,822,1881,231,607,877,490,1274,602
Northwestern,822,1756,201,456,651,318,1129,425
Notre Dame NCAA,815,1996,234,363,511,372,1111,351
Oakland NCAA,984,2217,233,489,678,430,1192,423
Ohio State NCAA,838,1976,232,300,407,341,1096,552
Ohio,882,1971,233,551,789,398,1253,535
Oklahoma State,734,1782,204,592,805,345,1113,460
Oklahoma,767,1699,195,470,648,331,1051,424
Old Dominion NCAA,717,1774,245,305,488,326,957,392
Oral Roberts,874,1900,199,597,810,365,1171,453
Oregon State,783,1698,262,428,633,336,1071,502
Oregon,941,2109,287,535,758,399,1348,601
Pacific,722,1650,189,312,465,280,970,332
Penn State NCAA,768,1747,235,355,509,316,1025,365
Pennsylvania,674,1463,188,370,487,251,878,385
Pepperdine,849,1844,253,491,704,331,1110,397
Pittsburgh NCAA,735,1850,199,404,598,350,993,378
Portland State,840,1774,195,355,522,355,1086,398
Portland,755,1749,231,451,642,329,997,365
Prairie View,774,1816,202,492,787,407,1300,458
Presbyterian,777,1698,190,322,464,336,1024,351
Princeton NCAA,721,1701,148,427,597,289,975,385
Providence,897,2001,191,426,601,422,1207,451
Purdue NCAA,770,1858,169,394,565,349,1143,478
Quinnipiac,716,1710,182,543,801,303,1063,422
Radford,717,1608,218,413,639,366,1115,450
Rhode Island,799,1886,198,471,697,399,1248,474
Rice,706,1606,244,493,692,279,1008,433
Richmond NCAA,832,2053,188,413,601,441,1300,454
Rider,832,2045,220,456,679,458,1262,436
Robert Morris,675,1612,208,537,801,354,1108,487
Rutgers,667,1641,227,540,737,356,1096,450
Sacramento State,688,1562,198,374,560,314,967,332
Sacred Heart,696,1551,190,435,624,324,975,433
Saint Francis (PA),765,1626,198,459,703,346,1038,409
Saint Joseph's,811,1859,223,456,647,396,1207,354
Saint Louis,680,1569,118,455,624,294,1025,430
Saint Mary's (CA),809,1834,169,466,674,321,1042,462
Saint Peter's NCAA,683,1818,175,501,765,431,1243,484
Sam Houston State,720,1665,165,444,655,293,1023,461
Samford,722,1672,247,381,540,380,1121,401
San Diego State NCAA,802,2027,194,394,547,381,1146,460
San Diego,735,1594,151,493,692,345,1078,399
San Francisco,844,2018,234,479,695,364,1188,389
San Jose State,839,1920,231,496,723,344,1183,399
Santa Clara,899,2012,223,669,907,367,1214,546
Savannah State,611,1517,123,463,682,324,1031,456
Seattle,786,1730,196,584,809,346,1158,547
Seton Hall,722,1729,160,435,664,353,1160,446
Siena,785,1816,200,399,566,354,1089,403
South Alabama,739,1616,185,378,573,347,1021,410
South Carolina State,769,1732,203,535,766,361,1065,447
South Carolina Upstate,745,1605,182,419,626,339,1116,395
South Carolina,716,1690,179,459,667,377,1139,445
South Dakota State,836,1771,201,412,587,331,1076,424
South Dakota,924,2089,197,462,670,393,1284,441
South Florida,766,1797,180,484,698,376,1079,345
Southeast Missouri State,777,1777,170,557,776,350,1121,386
Southeastern Louisiana,705,1573,158,435,651,335,1009,411
Southern California NCAA,741,1810,191,458,653,324,1122,404
SIU Edwardsville,801,1709,152,494,700,365,1119,390
Southern Illinois,708,1627,171,492,690,292,1016,394
Southern Methodist,759,1802,237,392,550,382,1077,484
Southern Mississippi,711,1700,220,451,675,327,993,433
Southern Utah,719,1598,195,559,801,334,929,397
Southern,773,1754,181,435,650,418,1210,396
St. Bonaventure,773,1801,191,432,610,352,1018,359
St. Francis (NY),688,1537,137,477,699,349,1114,499
St. John's (NY) NCAA,739,1703,253,480,684,354,1089,530
Stanford,704,1633,196,416,593,302,1005,436
Stephen F. Austin,595,1420,128,325,490,248,816,444
Stetson,737,1666,237,517,751,380,1081,450
Stony Brook,664,1704,202,404,576,353,1179,430
Syracuse NCAA,788,2000,244,396,594,442,1182,490
Temple NCAA,790,1908,187,357,504,340,1132,447
Tennessee-Martin,895,1884,174,490,719,393,1198,505
Tennessee State,727,1662,186,400,591,363,1007,423
Tennessee Tech,782,1815,200,543,787,337,1054,533
Tennessee NCAA,785,1878,230,496,704,388,1153,476
Texas A&M-Corpus Christi,793,1721,192,416,580,330,1012,406
Texas A&M NCAA,702,1703,179,426,619,321,988,441
Texas-Arlington,654,1609,207,478,729,368,1036,479
Texas Christian,818,1779,200,482,693,299,1136,438
Texas-El Paso,784,1959,220,437,653,398,1267,513
Texas-Rio Grande Valley,800,1677,232,525,744,317,1080,442
Texas-San Antonio NCAA,813,1941,254,483,695,413,1240,480
Texas Southern,727,1744,207,431,691,394,1139,516
Texas State,872,1900,204,562,822,372,1200,545
Texas Tech,859,1881,181,512,736,397,1149,437
Texas NCAA,816,2108,162,444,648,423,1223,461
Toledo,790,1755,259,408,584,368,1121,397
Towson,825,1698,218,411,583,342,1046,348
Troy,774,1747,257,438,627,339,1144,413
Tulane,695,1524,174,411,571,287,1001,459
Tulsa,735,1739,180,515,711,301,1008,377
UCLA NCAA,821,1964,176,436,648,396,1116,410
Utah State NCAA,696,1815,186,417,616,319,1007,412
Utah Valley,727,1765,204,396,634,309,1004,370
Utah,763,1808,174,477,693,363,1130,332
Valparaiso,813,1920,208,545,775,401,1185,513
Vanderbilt NCAA,848,2063,203,402,577,419,1172,406
Vermont,711,1812,188,362,508,343,1017,382
Villanova NCAA,739,1823,210,471,665,356,1076,395
Virginia Commonwealth NCAA,971,2200,222,509,751,496,1455,584
VMI,926,2018,192,501,740,439,1299,506
Virginia Tech,771,1851,211,380,578,364,1111,490
Virginia,705,1612,208,317,465,280,1045,379
Wagner,648,1516,145,674,944,359,1071,458
Wake Forest,902,1978,223,442,641,414,1211,394
Washington State,814,2040,252,479,666,436,1279,507
Washington NCAA,844,2017,183,603,887,412,1219,515
Weber State,725,1719,221,473,669,302,1042,376
West Virginia NCAA,752,1827,172,458,658,417,1116,393
Western Carolina,779,1732,161,556,821,346,1177,520
Western Illinois,654,1523,174,463,660,303,1031,359
Western Kentucky,831,1900,216,385,590,422,1179,451
Western Michigan,836,1939,199,450,694,380,1142,437
Wichita State,798,1956,195,490,703,318,1078,448
William & Mary,782,1807,233,377,531,335,1068,316
Winthrop,686,1650,191,443,651,337,1106,428
Wisconsin NCAA,705,1647,179,403,542,273,1008,329
Wofford NCAA,796,1787,188,533,742,353,1073,452
Wright State,704,1527,178,449,635,274,1030,498
Wyoming,764,1710,230,403,568,335,1102,463
Xavier NCAA,707,1743,208,445,610,308,991,401
Yale,669,1591,152,395,560,291,953,336
Youngstown State,771,1717,172,512,747,344,1194,387
