School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
North Carolina Central,695,1680,165,465,662,368,1044,537
North Carolina-Greensboro,824,1784,234,575,800,363,1176,515
North Carolina State NCAA,889,2140,236,487,687,414,1232,461
North Carolina-Wilmington,782,1787,181,444,665,375,1125,345
North Carolina NCAA,957,2431,275,360,529,425,1313,507
North Dakota State,726,1672,181,486,686,305,978,382
North Dakota,749,1772,206,437,630,330,1128,451
North Florida,832,1842,176,426,651,385,1106,435
North Texas,739,1819,184,418,616,348,1117,470
Northeastern,710,1608,163,447,647,345,1009,445
Northern Arizona,776,1573,202,314,487,293,982,406
Northern Colorado,698,1538,261,455,610,257,820,340
Northern Illinois,680,1547,236,500,693,287,997,366
Northern Iowa,772,1759,213,349,498,273,1102,415
Northwestern State,809,1891,168,453,733,473,1292,532
Northwestern,825,1826,232,370,532,401,1182,421
Notre Dame NCAA,791,1912,168,345,489,381,1167,367
Oakland,1031,2114,288,481,657,355,1222,474
Ohio State NCAA,840,2062,234,419,599,327,1159,577
Ohio NCAA,775,1880,198,563,787,416,1297,644
Oklahoma State,800,1873,183,464,673,400,1239,420
Oklahoma,747,1738,228,401,559,334,1043,424
Old Dominion,756,1882,219,503,744,376,1227,544
Oral Roberts,821,1752,189,407,568,290,963,463
Oregon State,932,2047,237,516,772,422,1246,598
Oregon,860,1962,203,418,617,376,1105,428
Pacific,697,1603,237,391,548,348,1086,394
Penn State,667,1538,257,515,696,266,1024,438
Pennsylvania,707,1657,192,500,700,341,1099,464
Pepperdine,654,1529,182,421,612,287,964,295
Pittsburgh,915,2077,229,495,694,393,1158,431
Portland State,872,1915,201,400,544,339,1016,365
Portland,801,1732,203,552,790,338,1047,361
Prairie View,722,1742,177,480,715,329,1192,518
Presbyterian,716,1537,147,339,482,275,856,308
Princeton,731,1723,147,390,595,329,1051,385
Providence,808,1908,212,388,567,426,1152,352
Purdue NCAA,826,1870,216,442,632,352,1192,440
Quinnipiac,723,1770,203,501,735,330,1057,401
Radford,726,1622,166,577,811,350,1173,484
Rhode Island,839,1766,215,446,631,322,1083,409
Rice,804,1965,229,485,703,353,1222,472
Richmond,771,1752,143,464,623,387,1148,414
Rider,838,1923,269,442,643,416,1168,410
Robert Morris,764,1778,234,586,848,355,1133,574
Rutgers,689,1640,202,526,760,379,1088,502
Sacramento State,670,1492,176,420,599,270,891,333
Sacred Heart,816,1841,236,451,645,371,1076,445
Saint Francis (PA),726,1567,189,376,529,356,988,395
Saint Joseph's,835,2090,232,408,575,423,1188,353
Saint Louis NCAA,691,1668,134,444,618,309,1059,500
Saint Mary's (CA) NCAA,771,1802,176,350,523,298,973,393
Saint Peter's,710,1599,196,522,728,369,1114,463
Sam Houston State,674,1650,182,411,626,326,1069,459
Samford,728,1689,250,386,554,383,1081,365
San Diego State NCAA,778,1921,234,376,545,320,1103,435
San Diego,770,1702,199,440,618,329,1073,437
San Francisco,857,1852,248,451,583,289,1098,533
San Jose State,806,1789,228,421,594,364,1164,380
Santa Clara,742,1602,172,589,800,320,1100,370
Savannah State,677,1589,118,477,716,297,1037,532
Seattle,674,1607,212,465,683,302,1012,410
Seton Hall,757,1836,193,463,646,357,1159,493
Siena,743,1833,243,332,460,364,1074,366
South Alabama,692,1670,201,362,516,347,933,365
South Carolina State,879,1862,222,411,656,404,1187,404
South Carolina Upstate,807,1788,197,510,744,352,1112,568
South Carolina,690,1546,196,439,624,353,1032,440
South Dakota State NCAA,871,1942,199,388,564,327,1127,455
South Dakota,776,1693,201,348,472,295,1010,335
South Florida NCAA,721,1866,179,416,589,373,1093,397
Southeast Missouri State,746,1701,187,491,678,323,1009,337
Southeastern Louisiana,639,1556,126,391,602,315,1004,405
Southern California,686,1579,160,378,524,338,1160,480
SIU Edwardsville,689,1553,157,389,532,320,963,352
Southern Illinois,706,1507,171,561,799,292,1047,465
Southern Methodist,666,1563,203,387,562,326,1075,459
Southern Mississippi NCAA,766,1727,179,501,689,295,1091,486
Southern Utah,715,1570,177,499,722,280,915,401
Southern,672,1737,164,473,733,429,1221,411
St. Bonaventure NCAA,719,1723,185,458,642,328,967,400
St. Francis (NY),711,1621,138,502,746,308,1019,448
St. John's (NY),830,1885,234,374,541,453,1216,463
Stanford,821,1987,207,488,751,362,1202,560
Stephen F. Austin,609,1491,163,360,548,248,892,490
Stetson,844,1821,202,385,584,372,1050,399
Stony Brook,677,1615,221,317,450,259,936,434
Syracuse NCAA,795,2064,235,432,639,541,1348,591
Temple NCAA,806,1855,181,432,615,364,1088,428
Tennessee-Martin,849,1682,166,463,672,336,1062,405
Tennessee State,765,1735,222,447,648,322,1050,521
Tennessee Tech,819,1809,219,500,683,345,1048,503
Tennessee,785,1905,181,465,673,372,1145,407
Texas A&M-Corpus Christi,696,1600,175,463,699,341,1112,402
Texas A&M,672,1641,172,452,635,298,1033,389
Texas-Arlington,767,1869,255,443,662,377,1128,580
Texas Christian,842,1762,194,501,724,313,1126,514
Texas-El Paso,718,1702,188,395,594,340,1033,389
Texas-Rio Grande Valley,795,1782,187,417,589,367,1144,433
Texas-San Antonio,759,1810,252,398,595,380,1139,517
Texas Southern,727,1797,226,393,613,412,1151,531
Texas State,776,1739,177,514,770,375,1165,527
Texas Tech,685,1620,184,560,776,344,1005,388
Texas NCAA,774,1862,199,523,772,409,1134,460
