Team,Team_1,win,SOS,SOS-1,efg%,def_efg%,tov%,def_tov%,orb%,drb%,ft%,def_ft%,efg%-1,def_efg%-1,tov%-1,def_tov%-1,orb%-1,drb%-1,ft%-1,def_ft%-1
Kansas_State_2019,UC-Irvine_2019,0,9.18,-2.3,0.493,0.482,0.136,0.182,0.281,1.277,0.204,0.674,0.516,0.439,0.136,0.13,0.292,1.214,0.208,0.708
Virginia_Commonwealth_2019,Central_Florida_2019,0,2.87,5.58,0.501,0.435,0.153,0.177,0.296,1.187,0.251,0.69,0.529,0.454,0.133,0.138,0.259,1.429,0.294,0.65
Duke_2019,Central_Florida_2019,1,11.98,5.58,0.536,0.45,0.132,0.153,0.316,1.083,0.228,0.696,0.529,0.454,0.133,0.138,0.259,1.429,0.294,0.65
Tennessee_2019,Colgate_2019,1,10.16,-3.83,0.554,0.475,0.122,0.138,0.272,1.335,0.251,0.653,0.559,0.503,0.151,0.139,0.26,1.425,0.21,0.712
Gonzaga_2019,Fairleigh_Dickinson_2019,1,5.01,-7.24,0.59,0.442,0.115,0.15,0.245,1.538,0.269,0.697,0.544,0.513,0.153,0.161,0.28,1.288,0.263,0.694
Gonzaga_2019,Florida_State_2019,1,5.01,10.26,0.59,0.442,0.115,0.15,0.245,1.538,0.269,0.697,0.505,0.472,0.143,0.159,0.301,1.164,0.267,0.722
Nevada_2019,Florida_2019,0,2.68,11.22,0.537,0.477,0.111,0.154,0.255,1.46,0.289,0.676,0.498,0.481,0.138,0.171,0.312,1.101,0.216,0.693
Michigan_2019,Florida_2019,1,10.55,11.22,0.516,0.441,0.111,0.144,0.229,1.686,0.193,0.663,0.498,0.481,0.138,0.171,0.312,1.101,0.216,0.693
Virginia_2019,Gardner-Webb_2019,1,10.15,-4.43,0.552,0.447,0.114,0.139,0.258,1.439,0.216,0.666,0.558,0.488,0.131,0.149,0.228,1.696,0.269,0.718
Houston_2019,Georgia_State_2019,1,4.61,0.65,0.521,0.425,0.124,0.139,0.298,1.176,0.222,0.694,0.543,0.499,0.128,0.16,0.246,1.533,0.235,0.702
Kentucky_2019,Houston_2019,1,10.29,4.61,0.53,0.466,0.138,0.142,0.299,1.172,0.31,0.705,0.521,0.425,0.124,0.139,0.298,1.176,0.222,0.694
North_Carolina_2019,Iona_2019,1,11.35,-5.5,0.529,0.489,0.131,0.148,0.3,1.166,0.224,0.679,0.53,0.523,0.135,0.144,0.246,1.535,0.275,0.684
Tennessee_2019,Iowa_2019,1,10.16,9.84,0.554,0.475,0.122,0.138,0.272,1.335,0.251,0.653,0.527,0.515,0.13,0.144,0.287,1.245,0.313,0.69
