"","X","Team","FG","FGA","X3P","FT","FTA","ORB","DRB","TOV","Opp.FG","Opp.FGA","Opp.3P","Opp.FT","Opp.FTA","Opp.ORB","Opp.DRB","Opp.TOV","Win.","eFG","OeFG","TOVp","oTOVp","ORBp","DRBp","FTp","oFTp"
"284",1114,"texas",27,58,3,21,30,4,37,15,24,70,6,19,26,11,26,10,1,0.491,0.386,0.145,0.094,0.133,0.587,0.362,0.362
"285",1536,"northwestern-state",12,43,5,15,24,7,18,18,28,61,5,11,22,18,27,12,0,0.337,0.5,0.211,0.126,0.206,0.4,0.349,0.349
"286",15112,"texas-am",28,61,5,11,22,18,27,12,12,43,5,15,24,7,18,18,1,0.5,0.337,0.126,0.211,0.5,0.6,0.18,0.18
"287",1625,"our-lady-of-the-lake",32,69,11,25,37,10,17,21,37,66,7,34,45,15,31,22,0,0.543,0.614,0.165,0.165,0.244,0.354,0.362,0.362
"288",16110,"texas-am-corpus-christi",37,66,7,34,45,15,31,22,32,69,11,25,37,10,17,21,1,0.614,0.543,0.165,0.165,0.469,0.646,0.515,0.515
"289",1626,"st-thomas-tx",23,53,9,9,13,4,20,20,30,62,7,15,23,10,24,14,0,0.519,0.54,0.231,0.141,0.143,0.455,0.17,0.17
"290",1537,"texas-christian",30,62,7,15,23,10,24,14,23,53,9,9,13,4,20,20,1,0.54,0.519,0.141,0.231,0.333,0.545,0.242,0.242
"291",1348,"houston-baptist",22,58,7,16,24,7,16,14,33,54,10,17,25,6,28,13,0,0.44,0.704,0.145,0.141,0.2,0.364,0.276,0.276
"292",1466,"texas-tech",33,54,10,17,25,6,28,13,22,58,7,16,24,7,16,14,1,0.704,0.44,0.141,0.145,0.273,0.636,0.315,0.315
"293",1467,"toccoa-falls",27,65,12,10,15,4,15,21,51,84,19,14,20,22,35,18,0,0.508,0.72,0.207,0.147,0.103,0.3,0.154,0.154
"294",1627,"troy",51,84,19,14,20,22,35,18,27,65,12,10,15,4,15,21,1,0.72,0.508,0.147,0.207,0.595,0.7,0.167,0.167
"295",1723,"north-carolina",34,69,9,18,25,16,32,13,25,72,12,13,19,13,20,11,1,0.558,0.431,0.121,0.107,0.444,0.615,0.261,0.261
"296",1468,"tulane",25,72,12,13,19,13,20,11,34,69,9,18,25,16,32,13,0,0.431,0.558,0.107,0.121,0.289,0.385,0.181,0.181
"297",1349,"jacksonville-state",30,54,9,15,20,8,20,16,23,58,10,17,29,15,16,15,1,0.639,0.483,0.177,0.146,0.333,0.556,0.278,0.278
"298",13118,"tulsa",23,58,10,17,29,15,16,15,30,54,9,15,20,8,20,16,0,0.483,0.639,0.146,0.177,0.429,0.444,0.293,0.293
"299",1628,"pacific",28,66,10,14,28,13,18,14,42,69,18,17,24,11,31,12,0,0.5,0.739,0.129,0.114,0.295,0.367,0.212,0.212
"300",1469,"ucla",42,69,18,17,24,11,31,12,28,66,10,14,28,13,18,14,1,0.739,0.5,0.114,0.129,0.379,0.633,0.246,0.246
"301",1350,"southern-utah",20,54,10,15,24,11,20,15,21,58,4,33,37,12,27,10,0,0.463,0.397,0.161,0.095,0.289,0.426,0.278,0.278
