,School,SRS,SOS,DRB,oEFG,dEFG,oTOV,dTOV,oREB,dREB,oFT,dFT
77,Clemson_2011,13.76,6.58,793,0.503,0.456,0.28,0.311,0.342,0.675,0.27,0.247
78,Connecticut_2011,17.95,10.44,1056,0.482,0.445,0.266,0.293,0.387,0.659,0.258,0.182
79,Duke_2011,24.51,8.32,953,0.537,0.445,0.26,0.312,0.351,0.668,0.282,0.193
80,Florida State_2011,13.48,6.45,910,0.49,0.424,0.299,0.299,0.356,0.693,0.253,0.252
81,Florida_2011,16.27,7.57,917,0.521,0.472,0.274,0.308,0.372,0.7,0.239,0.187
82,George Mason_2011,11.66,1.37,824,0.532,0.466,0.256,0.303,0.329,0.687,0.266,0.217
83,Georgetown_2011,14.61,10.39,757,0.541,0.468,0.302,0.26,0.337,0.677,0.245,0.268
84,Georgia_2011,10.43,6.13,836,0.495,0.448,0.285,0.275,0.368,0.683,0.255,0.243
85,Gonzaga_2011,13.86,4.01,916,0.531,0.469,0.27,0.297,0.354,0.718,0.317,0.248
86,Hampton_2011,-5.2,-8.77,803,0.463,0.432,0.26,0.303,0.297,0.641,0.267,0.241
87,Illinois_2011,16.72,11.11,836,0.529,0.457,0.308,0.283,0.317,0.685,0.206,0.237
88,Indiana State_2011,3.41,2.9,820,0.494,0.462,0.293,0.264,0.309,0.702,0.268,0.326
89,Kansas State_2011,14.59,8.41,790,0.499,0.471,0.273,0.283,0.409,0.693,0.28,0.319
90,Kansas_2011,24.1,7.62,1026,0.57,0.445,0.27,0.303,0.367,0.721,0.267,0.233
91,Kentucky_2011,20.3,8.91,975,0.523,0.442,0.254,0.291,0.343,0.693,0.257,0.218
92,Long Island University_2011,2.23,-5.77,899,0.519,0.483,0.251,0.318,0.374,0.677,0.321,0.173
93,Louisville_2011,18.6,8.2,838,0.526,0.445,0.297,0.297,0.348,0.648,0.198,0.277
94,Marquette_2011,14.89,8.51,872,0.51,0.499,0.248,0.312,0.361,0.668,0.308,0.19
95,Memphis_2011,6.91,3.14,825,0.504,0.468,0.289,0.286,0.353,0.65,0.269,0.267
96,Michigan State_2011,13.7,11.67,849,0.489,0.481,0.284,0.267,0.345,0.71,0.256,0.255
97,Michigan_2011,14.21,10.68,826,0.523,0.489,0.291,0.298,0.255,0.711,0.186,0.202
98,Missouri_2011,14.77,6.5,772,0.515,0.489,0.271,0.306,0.339,0.637,0.25,0.276
99,Morehead State_2011,2.81,-3.13,827,0.509,0.488,0.291,0.309,0.416,0.725,0.27,0.255
100,Nevada-Las Vegas_2011,14.67,6.0,783,0.509,0.46,0.268,0.304,0.331,0.683,0.27,0.276
101,North Carolina-Asheville_2011,-0.69,-2.89,813,0.495,0.474,0.278,0.307,0.332,0.649,0.295,0.264
102,North Carolina_2011,18.87,10.15,1053,0.492,0.462,0.264,0.322,0.371,0.699,0.255,0.163
103,Northern Colorado_2011,1.39,-2.24,774,0.502,0.483,0.275,0.277,0.353,0.717,0.334,0.303
104,Notre Dame_2011,18.17,8.43,890,0.535,0.467,0.234,0.289,0.334,0.705,0.327,0.182
105,Oakland_2011,8.28,0.1,915,0.559,0.496,0.266,0.277,0.372,0.68,0.281,0.221
106,Ohio State_2011,25.84,8.38,858,0.563,0.483,0.248,0.365,0.357,0.716,0.26,0.152
107,Old Dominion_2011,9.03,1.76,831,0.485,0.473,0.276,0.308,0.454,0.718,0.251,0.172
108,Penn State_2011,11.98,11.45,731,0.501,0.507,0.284,0.294,0.322,0.698,0.225,0.203
109,Pittsburgh_2011,20.82,7.85,875,0.529,0.451,0.248,0.279,0.429,0.714,0.289,0.218
110,Princeton_2011,3.71,-1.61,790,0.522,0.467,0.28,0.282,0.315,0.732,0.263,0.251
111,Purdue_2011,19.36,8.69,827,0.507,0.46,0.256,0.314,0.324,0.703,0.246,0.212
112,Richmond_2011,11.23,2.79,878,0.531,0.451,0.271,0.301,0.286,0.666,0.222,0.201
113,Saint Peter's_2011,-0.28,-1.08,825,0.455,0.424,0.298,0.279,0.321,0.657,0.25,0.276
114,San Diego State_2011,17.96,6.36,924,0.515,0.444,0.276,0.313,0.382,0.708,0.213,0.194
115,Southern California_2011,11.52,7.97,813,0.499,0.462,0.273,0.276,0.299,0.715,0.23,0.253
116,St. John's (NY)_2011,13.1,10.01,714,0.495,0.508,0.255,0.304,0.325,0.669,0.314,0.282
117,Syracuse_2011,18.85,8.79,879,0.528,0.455,0.274,0.311,0.367,0.665,0.239,0.198
118,Temple_2011,12.35,4.23,844,0.5,0.463,0.264,0.32,0.321,0.713,0.236,0.187
119,Tennessee_2011,11.08,8.73,815,0.476,0.479,0.27,0.287,0.378,0.677,0.272,0.264
120,Texas A&M_2011,12.62,5.94,781,0.494,0.465,0.258,0.294,0.382,0.709,0.324,0.25
121,Texas-San Antonio_2011,-5.8,-4.93,824,0.491,0.484,0.272,0.29,0.304,0.666,0.292,0.249
122,Texas_2011,20.82,7.96,958,0.502,0.426,0.242,0.294,0.382,0.694,0.282,0.211
123,UCLA_2011,11.7,7.93,860,0.502,0.463,0.277,0.279,0.36,0.685,0.301,0.222
124,Utah State_2011,13.23,0.5,903,0.527,0.435,0.256,0.286,0.345,0.739,0.315,0.23
125,Vanderbilt_2011,15.1,6.86,885,0.529,0.46,0.256,0.292,0.329,0.679,0.336,0.195
126,Villanova_2011,15.05,8.23,821,0.495,0.463,0.252,0.271,0.358,0.698,0.32,0.258
127,Virginia Commonwealth_2011,8.56,3.78,864,0.511,0.492,0.262,0.304,0.309,0.635,0.264,0.231
128,Washington_2011,20.12,7.74,879,0.537,0.464,0.272,0.269,0.377,0.681,0.212,0.299
129,West Virginia_2011,16.15,11.03,758,0.485,0.459,0.258,0.272,0.402,0.645,0.291,0.251
130,Wisconsin_2011,18.77,9.42,733,0.518,0.482,0.246,0.274,0.326,0.729,0.241,0.245
131,Wofford_2011,4.35,-1.21,736,0.53,0.498,0.255,0.275,0.341,0.676,0.291,0.298
132,Xavier_2011,11.88,4.41,802,0.512,0.465,0.253,0.284,0.324,0.723,0.332,0.255
133,Alabama_2012,13.76,7.18,714,0.491,0.437,0.288,0.287,0.335,0.657,0.257,0.247
134,Baylor_2012,16.54,8.03,810,0.528,0.473,0.289,0.301,0.384,0.654,0.266,0.229
135,Belmont_2012,11.81,-1.22,750,0.558,0.481,0.262,0.297,0.345,0.651,0.282,0.23
136,Brigham Young_2012,11.25,1.55,842,0.521,0.471,0.275,0.311,0.306,0.708,0.257,0.22
137,University of California_2012,13.79,4.53,754,0.517,0.464,0.281,0.317,0.321,0.705,0.254,0.183
138,Cincinnati_2012,12.93,6.28,736,0.48,0.462,0.278,0.328,0.357,0.624,0.189,0.18
139,Colorado State_2012,6.58,5.23,673,0.53,0.503,0.272,0.267,0.287,0.685,0.324,0.278
140,Colorado_2012,7.91,5.73,841,0.499,0.461,0.268,0.29,0.301,0.697,0.299,0.207
