School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Nicholls State,-6.98,829,1872,198,446,634,368,1239,426
NJIT,-4.74,872,2041,252,405,600,326,1247,444
Norfolk State,-8.74,831,2033,279,562,837,372,1308,562
North Alabama,-1.69,818,1806,232,490,698,273,1200,410
North Carolina-Asheville,-2.35,810,1702,271,422,593,346,1073,366
North Carolina A&T,-9.88,790,1855,220,409,579,388,1158,455
North Carolina Central NCAA,-11.24,831,1911,213,391,582,308,1045,450
North Carolina-Greensboro,-0.90,867,1981,265,444,628,348,1218,592
North Carolina State,6.22,898,2037,216,556,790,362,1232,559
North Carolina-Wilmington,-2.04,938,1984,330,464,634,293,1109,342
North Carolina NCAA,11.35,935,2248,330,434,639,321,1216,501
North Dakota State NCAA,-2.07,942,2043,261,396,529,284,1164,343
North Dakota,-3.55,806,1783,204,380,489,254,1054,382
North Florida,-0.70,939,2161,214,439,628,425,1261,428
North Texas,-3.48,718,1766,205,436,653,295,1095,451
Northeastern NCAA,-0.70,889,1931,234,394,536,272,1090,383
Northern Arizona,-6.23,866,1837,287,383,545,275,1113,363
Northern Colorado,-6.76,829,1842,210,361,502,266,1036,408
Northern Illinois,1.11,813,1877,301,486,718,301,1138,434
Northern Iowa,0.62,793,1803,233,411,571,244,1115,412
Northern Kentucky NCAA,-2.39,834,1987,244,498,692,317,1141,466
Northwestern State,-5.99,792,1827,248,448,652,377,1204,440
Northwestern,9.16,743,1770,166,430,602,289,1157,385
Notre Dame,8.28,861,2006,244,310,438,379,1287,359
Oakland,-1.48,927,2009,258,403,553,365,1180,401
Ohio State NCAA,11.00,814,1929,236,454,613,308,1170,425
Ohio,3.16,812,1861,260,404,572,300,1114,416
Oklahoma State,11.53,789,1843,276,434,580,332,1154,379
Oklahoma NCAA,12.21,852,2096,288,326,485,362,1253,408
Old Dominion NCAA,-1.18,737,1887,248,408,612,305,1201,424
Oral Roberts,-1.91,868,1886,285,462,617,285,1056,327
Oregon State,4.29,762,1764,246,395,591,317,1019,370
Oregon NCAA,6.13,807,2027,267,483,688,371,1250,523
Pacific,1.97,757,1631,254,473,674,223,993,423
Penn State,11.51,778,1766,208,432,602,277,1102,432
Pennsylvania,-0.76,796,1841,202,323,472,287,1110,417
Pepperdine,0.63,893,1919,262,481,685,330,1205,505
Pittsburgh,6.69,779,1905,260,449,627,402,1213,484
Portland State,-5.78,819,1769,221,545,769,286,1061,478
Portland,0.51,830,1865,280,449,629,325,1197,357
Prairie View NCAA,-9.17,863,1887,215,606,875,393,1316,637
Presbyterian,-5.35,918,2056,302,472,672,320,1279,472
Princeton,-0.89,708,1640,192,343,472,239,1001,348
Providence,6.71,834,1927,246,460,632,326,1187,480
