,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
144,Buffalo 2015,837,1922,199,589,819,420.0,1260,378
145,Butler 2015,814,1882,192,526,767,408.0,1239,376
146,UC-Irvine 2015,854,1851,217,370,541,329.0,1198,396
147,Cincinnati 2015,761,1705,167,424,633,383.0,1178,432
148,Coastal Carolina 2015,836,1899,228,538,780,447.0,1338,399
149,Davidson 2015,898,1924,343,390,553,335.0,1144,303
150,Dayton 2015,810,1755,239,580,846,255.0,1121,415
151,Duke 2015,1099,2191,283,610,873,445.0,1436,421
152,Eastern Washington 2015,977,2045,344,522,719,351.0,1183,376
153,Georgetown 2015,799,1753,201,541,769,367.0,1152,415
154,Georgia State 2015,902,1878,174,521,719,322.0,1116,366
155,Georgia 2015,747,1730,184,572,826,360.0,1260,420
156,Gonzaga 2015,1084,2083,264,557,806,391.0,1441,397
157,Hampton 2015,796,1959,194,560,859,416.0,1292,494
158,Harvard 2015,671,1548,146,438,609,316.0,1025,349
159,Indiana 2015,923,1989,319,468,651,407.0,1224,392
160,Iowa State 2015,940,1973,263,502,721,323.0,1221,375
161,Iowa 2015,821,1905,192,538,723,422.0,1274,377
162,Kansas 2015,869,1976,213,610,842,426.0,1364,463
163,Kentucky 2015,1006,2150,203,685,943,491.0,1482,408
164,Lafayette 2015,872,1799,261,421,549,282.0,1017,366
165,Louisiana State 2015,892,1962,189,450,658,401.0,1294,476
166,Louisville 2015,878,2048,198,529,792,454.0,1351,408
167,Manhattan 2015,756,1748,215,573,829,345.0,1065,481
168,Maryland 2015,781,1777,258,597,790,314.0,1223,431
169,Michigan State 2015,1014,2181,294,451,714,436.0,1458,441
170,Mississippi 2015,848,2003,220,559,723,430.0,1284,378
171,New Mexico State 2015,808,1748,165,535,771,428.0,1199,470
172,North Carolina State 2015,895,2054,236,499,727,435.0,1369,375
173,North Carolina 2015,1099,2309,184,571,814,526.0,1541,481
174,North Dakota State 2015,743,1713,230,425,614,274.0,1098,325
175,North Florida 2015,897,1910,317,540,747,339.0,1219,436
176,Northeastern 2015,838,1725,203,518,713,297.0,1160,483
177,Northern Iowa 2015,776,1618,257,472,644,255.0,1071,363
178,Notre Dame 2015,1050,2061,302,561,756,313.0,1231,357
179,Ohio State 2015,964,1995,236,471,693,387.0,1241,396
180,Oklahoma State 2015,733,1667,226,468,645,287.0,1039,392
181,Oklahoma 2015,885,2035,236,495,668,389.0,1332,419
182,Oregon 2015,992,2143,263,466,613,372.0,1298,421
183,Providence 2015,828,1889,171,543,768,411.0,1228,407
184,Purdue 2015,827,1840,195,524,767,409.0,1249,444
185,Robert Morris 2015,854,1926,221,485,684,367.0,1162,467
186,San Diego State 2015,800,1916,189,437,694,439.0,1270,410
187,Southern Methodist 2015,832,1750,145,541,770,388.0,1244,426
188,St. John's (NY) 2015,835,1890,198,475,687,336.0,1164,352
189,Stephen F. Austin 2015,911,1870,262,588,799,413.0,1176,476
190,Texas Southern 2015,818,1840,185,569,861,394.0,1193,454
191,Texas 2015,796,1837,212,486,671,422.0,1351,435
192,UCLA 2015,930,2099,223,507,750,440.0,1367,430
193,Utah 2015,849,1760,264,534,760,322.0,1204,407
194,Valparaiso 2015,837,1836,236,456,676,397.0,1276,422
195,Villanova 2015,916,1951,326,596,815,371.0,1235,382
196,Virginia Commonwealth 2015,896,2139,293,524,797,444.0,1277,383
197,Virginia 2015,804,1758,170,446,614,358.0,1232,316
198,West Virginia 2015,872,2138,227,571,863,575.0,1272,453
199,Wichita State 2015,860,1933,239,501,715,415.0,1245,327
200,Wisconsin 2015,1014,2115,288,584,765,383.0,1338,296
201,Wofford 2015,818,1802,222,473,688,324.0,1139,379
202,Wyoming 2015,747,1619,209,448,638,216.0,1047,392
203,Xavier 2015,956,2011,234,566,775,364.0,1282,447
204,Albany (NY) 2014,765,1733,163,546,728,343.0,1175,428
205,American 2014,748,1527,207,378,535,232.0,986,464
206,Arizona State 2014,836,1852,268,546,787,281.0,1172,377
207,Arizona 2014,996,2123,204,573,870,465.0,1449,387
208,Baylor 2014,959,2108,280,645,949,525.0,1456,440
209,Brigham Young 2014,1012,2186,177,730,1055,463.0,1432,395
210,Cal Poly 2014,754,1850,218,415,603,377.0,1096,303
211,Cincinnati 2014,805,1893,196,519,733,457.0,1224,377
212,Coastal Carolina 2014,861,1969,212,524,758,434.0,1336,473
213,Colorado 2014,814,1871,181,648,903,401.0,1305,466
