,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
383,Xavier_2015,37,23,14,.622,15.42,9.48,,9,9,,13,3,,5,7,,2712,2492,,1505,956,2011,.475,234,666,.351,566,775,.730,364,1282,596,223,106,447,661
13,Arizona_2016,34,25,9,.735,18.79,7.23,,12,6,,17,1,,5,5,,2735,2342,,1390,946,1970,.480,221,580,.381,622,863,.721,394,1368,485,164,161,442,621
14,Little Rock_2016,35,30,5,.857,7.12,-1.76,,17,3,,14,0,,12,4,,2487,2129,,1415,886,1958,.453,266,693,.384,449,616,.729,324,1195,451,230,106,355,640
20,Austin Peay_2016,36,18,18,.500,-6.04,-2.98,,7,9,,7,7,,7,9,,2740,2765,,1460,945,2049,.461,223,645,.346,627,936,.670,422,1326,479,250,101,502,633
24,Baylor_2016,34,22,12,.647,16.13,9.76,,10,8,,15,5,,6,5,,2621,2366,,1375,933,2003,.466,210,572,.367,545,752,.725,467,1267,603,269,135,432,660
37,Buffalo_2016,35,20,15,.571,1.34,0.90,,10,8,,10,5,,5,9,,2709,2634,,1410,915,2096,.437,263,776,.339,616,867,.710,425,1363,441,240,124,475,748
38,Butler_2016,33,22,11,.667,16.46,7.55,,10,8,,13,3,,5,5,,2638,2344,,1325,918,1969,.466,236,601,.393,566,774,.731,366,1188,468,227,107,335,646
40,Cal State Bakersfield_2016,33,24,9,.727,2.58,-5.15,,11,3,,14,1,,7,7,,2405,2104,,1330,875,1939,.451,179,524,.342,476,726,.656,414,1263,516,263,165,405,707
49,University of California_2016,34,23,11,.676,15.39,7.87,,12,6,,18,0,,4,7,,2545,2289,,1375,890,1931,.461,236,651,.363,529,806,.656,386,1349,430,139,159,419,706
58,Chattanooga_2016,35,29,6,.829,3.24,-3.46,,15,3,,13,1,,10,4,,2652,2364,,1410,897,1963,.457,262,729,.359,596,811,.735,381,1241,504,272,165,437,596
60,Cincinnati_2016,33,22,11,.667,15.19,5.25,,12,6,,14,3,,6,6,,2418,2090,,1355,851,1980,.430,252,725,.348,464,658,.705,441,1291,508,257,192,363,513
70,Colorado_2016,34,22,12,.647,12.04,7.64,,10,8,,16,1,,4,7,,2576,2407,,1370,865,2029,.426,252,647,.389,594,808,.735,446,1434,461,177,167,454,638
72,Connecticut_2016,36,25,11,.694,15.89,6.28,,11,7,,14,3,,6,4,,2631,2285,,1460,944,2078,.454,255,699,.365,488,615,.793,338,1300,489,210,182,385,657
78,Dayton_2016,33,25,8,.758,11.34,4.76,,14,4,,14,3,,8,2,,2393,2176,,1335,836,1836,.455,221,643,.344,500,749,.668,327,1265,480,196,145,427,626
86,Duke_2016,36,25,11,.694,19.23,10.59,,11,7,,15,3,,5,4,,2920,2609,,1450,983,2136,.460,328,851,.385,626,866,.723,426,1296,478,226,154,354,603
99,Fairleigh Dickinson_2016,33,18,15,.545,-10.90,-8.31,,11,7,,9,6,,9,8,,2558,2600,,1335,929,2029,.458,238,657,.362,462,663,.697,348,1108,472,250,87,423,720
102,Florida Gulf Coast_2016,35,21,14,.600,-0.79,-3.82,,8,6,,16,4,,4,8,,2703,2473,,1435,1008,2106,.479,186,527,.353,501,778,.644,417,1422,483,230,141,438,674
107,Fresno State_2016,35,25,10,.714,5.27,2.24,,13,5,,16,2,,6,7,,2630,2475,,1420,926,2126,.436,219,638,.343,559,805,.694,409,1293,466,295,138,378,764
119,Gonzaga_2016,36,28,8,.778,16.92,4.23,,15,3,,11,4,,9,2,,2840,2360,,1445,1011,2081,.486,281,738,.381,537,708,.758,382,1426,501,184,111,418,623
122,Green Bay_2016,36,23,13,.639,1.16,-0.67,,11,7,,11,3,,8,9,,3013,2880,,1455,1048,2350,.446,255,730,.349,662,1007,.657,458,1385,501,358,166,441,724
123,Hampton_2016,32,21,11,.656,-8.74,-8.45,,13,3,,9,2,,8,7,,2363,2370,,1305,810,1967,.412,206,678,.304,537,815,.659,447,1322,381,169,117,440,649
126,Hawaii_2016,34,28,6,.824,9.03,-1.04,,13,3,,16,3,,7,2,,2620,2267,,1365,893,1946,.459,237,737,.322,597,873,.684,362,1270,525,257,124,443,695
129,Holy Cross_2016,35,15,20,.429,-11.20,-6.11,,5,13,,8,6,,5,13,,2267,2445,,1425,775,1879,.412,251,769,.326,466,678,.687,279,1052,480,219,86,386,585
142,Indiana_2016,35,27,8,.771,19.59,6.90,,15,3,,17,0,,6,4,,2891,2447,,1405,1021,2034,.502,345,831,.415,504,688,.733,414,1288,560,239,137,474,647
