,,Oppo,Oppo,Oppo,Oppo,Oppo,Oppo,Oppo,Oppo
Rk,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
254,Rider,706,1712,215,476,646,325,1116,466
255,Robert Morris NCAA,837,1941,241,482,730,446,1262,512
256,Rutgers,771,1775,225,383,568,347,1164,378
257,Sacramento State,812,1743,221,405,563,330,1042,414
258,Sacred Heart,836,1939,229,466,652,396,1175,423
259,Saint Francis (PA),744,1718,194,368,517,324,1091,417
260,Saint Joseph's,722,1702,199,356,533,327,1095,383
261,Saint Louis,729,1607,190,474,700,322,1096,436
262,Saint Mary's (CA),710,1660,176,388,548,254,902,303
263,Saint Peter's,654,1654,187,553,758,332,1103,443
264,Sam Houston State,724,1857,171,482,746,343,1153,501
265,Samford,789,1679,204,519,770,345,1099,460
266,San Diego State NCAA,716,1864,181,326,469,351,1152,470
267,San Diego,675,1566,147,452,652,317,1049,418
268,San Francisco,739,1739,225,464,667,338,1093,403
269,San Jose State,725,1574,205,431,656,293,1112,344
270,Santa Clara,728,1622,210,470,672,339,1084,371
271,Savannah State,678,1439,153,501,722,300,1040,498
272,Seattle,715,1801,236,429,593,319,1020,370
273,Seton Hall,752,1749,167,436,663,363,1100,371
274,Siena,734,1625,201,620,828,371,1065,441
275,South Alabama,878,1994,199,483,688,396,1207,360
276,South Carolina State,789,1776,218,407,625,361,1237,438
277,South Carolina Upstate,783,1992,246,386,581,418,1233,491
278,South Carolina,658,1699,196,534,744,355,1103,456
279,South Dakota State,782,1912,207,506,771,361,1194,431
280,South Dakota,815,1822,215,467,633,291,1110,387
281,South Florida,736,1742,216,501,736,393,1139,392
282,Southeast Missouri State,703,1611,204,454,660,315,1036,413
283,Southeastern Louisiana,813,1844,238,460,635,363,1122,429
284,Southern California,811,1923,224,425,600,408,1205,427
285,SIU Edwardsville,657,1547,179,391,577,307,987,382
286,Southern Illinois,690,1553,211,453,621,250,973,436
287,Southern Methodist NCAA,691,1815,268,382,562,357,1016,441
288,Southern Mississippi,707,1553,226,338,491,318,990,373
289,Southern Utah,709,1568,177,551,789,284,1002,322
290,Southern,744,1908,181,557,833,436,1276,484
291,St. Bonaventure,707,1677,209,382,569,314,1028,401
292,St. Francis (NY),783,1839,179,517,740,337,1126,471
293,St. John's (NY) NCAA,793,1948,230,424,649,444,1293,436
294,Stanford,867,2048,247,510,747,360,1207,424
295,Stephen F. Austin NCAA,730,1665,155,571,821,316,994,587
296,Stetson,806,1837,252,426,589,377,1172,345
297,Stony Brook,736,1858,226,404,576,300,1105,400
