Rk,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
205,Nicholls State,882,1882,258,442,645,402,1230,475
206,NJIT,814,1773,254,438,623,250,1046,416
207,Norfolk State,822,2024,266,520,795,380,1244,418
208,North Carolina-Asheville,815,1814,249,382,581,298,1142,547
209,North Carolina A&T,817,1840,291,510,711,371,1110,312
210,North Carolina Central NCAA,788,2007,210,373,576,416,1225,474
211,North Carolina-Greensboro,832,1942,258,502,673,361,1119,486
212,North Carolina State,918,2039,268,443,619,380,1156,361
213,North Carolina-Wilmington NCAA,938,1964,192,556,777,320,1184,504
214,North Carolina NCAA,982,2377,319,541,746,362,1258,544
215,North Dakota State,757,1764,251,379,535,301,1046,369
216,North Dakota NCAA,824,1858,215,494,715,310,1123,479
217,North Florida,960,2143,257,497,725,410,1224,408
218,North Texas,784,1815,231,459,616,347,1163,398
219,Northeastern,806,1773,235,383,550,284,1051,359
220,Northern Arizona,879,1913,253,425,617,303,1145,386
221,Northern Colorado,763,1677,222,419,588,253,1047,375
222,Northern Illinois,777,1786,256,451,675,311,1109,477
223,Northern Iowa,697,1624,230,307,409,271,1099,415
224,Northern Kentucky NCAA,918,2087,227,444,628,322,1165,427
225,Northwestern State,816,1737,228,441,663,325,1065,424
226,Northwestern NCAA,817,2025,233,490,732,404,1275,430
227,Notre Dame NCAA,914,2118,250,416,565,387,1278,456
228,Oakland,882,2166,225,430,614,388,1246,483
229,Ohio State,791,1902,278,372,560,351,1119,387
230,Ohio,768,1853,218,412,602,326,1149,417
231,Oklahoma State NCAA,875,1856,235,604,834,345,1083,491
232,Oklahoma,806,1871,259,428,627,344,1152,415
233,Old Dominion,632,1579,202,430,609,265,1015,400
234,Oral Roberts,857,1832,277,407,576,307,1109,357
235,Oregon State,798,1793,237,488,696,350,1128,376
236,Oregon NCAA,932,2311,273,428,595,408,1274,516
237,Pacific,800,1782,259,512,736,268,1159,383
238,Penn State,856,1990,246,442,620,370,1282,491
239,Pennsylvania,650,1561,222,382,524,294,998,381
240,Pepperdine,910,1874,292,378,535,299,1129,337
241,Pittsburgh,910,2028,261,383,540,354,1153,322
242,Portland State,900,1873,276,459,632,322,1173,527
243,Portland,846,1971,290,401,578,373,1209,382
244,Prairie View,806,1756,213,594,861,383,1253,502
245,Presbyterian,766,1674,285,428,607,321,1053,348
246,Princeton NCAA,652,1568,195,344,499,238,1002,394
247,Providence NCAA,810,1840,207,380,562,322,1142,454
248,Purdue NCAA,902,2145,242,347,491,313,1088,411
249,Quinnipiac,899,1936,239,546,739,342,1178,393
250,Radford,826,1851,214,381,551,300,1060,327
251,Rhode Island NCAA,762,1875,166,598,845,373,1212,459
252,Rice,942,2146,229,537,760,341,1213,472
253,Richmond,890,2012,229,511,697,373,1279,492
254,Rider,859,2007,247,535,721,339,1191,444
