"","Rk.x","School","SOS","FG.x","FGA.x","X3P.x","FT.x","FTA.x","ORB.x","TRB.x","TOV.x","Rk.y","FG.y","FGA.y","X3P.y","FT.y","FTA.y","ORB.y","TRB.y","TOV.y"
"329",329,"VMI",-3.92,829,2074,342,415,607,434,1178,449,329,767,1729,247,433,602,312,1141,410
"330",330,"Virginia Tech",5.32,779,1747,241,357,558,274,978,386,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",331,"Virginia NCAA",7.81,804,1758,170,446,614,358,1232,316,331,647,1703,215,327,447,280,1048,432
"332",332,"Wagner",-4.99,722,1804,179,429,616,445,1112,420,332,731,1774,232,562,816,331,1112,479
"333",333,"Wake Forest",7.68,762,1809,206,479,751,375,1200,428,333,770,1751,265,500,683,296,1064,380
"334",334,"Washington State",6.08,743,1712,214,489,679,282,1026,367,334,882,1897,265,382,541,340,1129,354
"335",335,"Washington",4.83,765,1747,193,405,593,329,1082,361,335,887,1983,236,472,682,392,1200,513
"336",336,"Weber State",-3.5,641,1518,217,511,683,283,997,402,336,794,1851,199,408,587,298,1070,369
"337",337,"West Virginia NCAA",9.29,872,2138,227,571,863,575,1272,453,337,835,1962,288,617,866,375,1268,612
"338",338,"Western Carolina",-3.56,799,1839,197,456,651,401,1130,435,338,839,1824,282,459,636,344,1191,490
"339",339,"Western Illinois",-2.93,618,1543,188,323,463,207,907,352,339,723,1701,237,326,467,255,991,319
"340",340,"Western Kentucky",-0.44,793,1824,248,451,690,363,1190,413,340,989,2304,301,395,545,403,1275,488
"341",341,"Western Michigan",0.19,819,1802,236,527,750,338,1108,406,341,818,1803,290,423,585,287,1096,440
"342",342,"Wichita State NCAA",3.68,860,1933,239,501,715,415,1245,327,342,809,1922,282,464,639,271,1005,379
"343",343,"William & Mary",-1.15,834,1726,293,453,617,248,1065,379,343,928,1907,260,415,596,276,1002,332
"344",344,"Winthrop",-7.38,812,1809,251,481,664,332,1127,387,344,772,1847,229,446,598,311,1070,425
"345",345,"Wisconsin NCAA",10.29,1014,2115,288,584,765,383,1338,296,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346",346,"Wofford NCAA",-2.98,818,1802,222,473,688,324,1139,379,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347",347,"Wright State",-1.14,715,1619,194,365,524,232,902,373,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348",348,"Wyoming NCAA",-0.04,747,1619,209,448,638,216,1047,392,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",349,"Xavier NCAA",9.48,956,2011,234,566,775,364,1282,447,349,944,2192,301,427,562,296,1095,400
"350",350,"Yale",-0.87,740,1667,220,464,653,360,1139,406,350,824,1793,214,426,589,277,1061,397
"351",351,"Youngstown State",-1.73,807,1826,208,465,670,315,1055,374,351,943,1852,258,503,724,294,1122,497
"352",NA,"Alabama-Birmingham",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,827,1952,292,357,513,301,1035,414
"353",NA,"Alabama NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,877,2109,262,527,769,414,1277,473
"354",NA,"Albany (NY)",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,807,1808,215,353,503,261,965,368
"355",NA,"Arizona State NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,841,1919,262,451,628,357,1171,474
"356",NA,"Auburn NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,838,1961,273,539,747,341,1207,516
"357",NA,"Baylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,22,836,2016,261,436,609,367,1091,400
"358",NA,"Belmont",NA,NA,NA,NA,NA,NA,NA,NA,NA,23,836,1943,228,384,521,302,1068,382
"359",NA,"Boise State",NA,NA,NA,NA,NA,NA,NA,NA,NA,26,794,1859,223,399,551,203,972,380
"360",NA,"Brigham Young",NA,NA,NA,NA,NA,NA,NA,NA,NA,31,878,1955,251,365,556,263,1100,444
"361",NA,"Bucknell NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,34,911,2138,224,513,738,360,1240,438
"362",NA,"Cal State Fullerton NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,768,1861,220,489,647,320,1074,413
"363",NA,"UC-Irvine",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,781,2006,229,559,803,332,1180,367
"364",NA,"Clemson NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,58,826,2033,268,387,552,332,1172,413
