School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Northern Illinois,594,1602,185,343,511,387,970,497
Northern Iowa,754,1752,267,441,605,270,999,369
Northwestern State,789,1852,193,488,799,405,1071,471
Northwestern,790,1754,297,409,592,279,846,335
Notre Dame NCAA,781,1800,221,474,673,345,1050,342
Oakland,947,2104,335,646,877,397,1103,430
Ohio State NCAA,1057,2219,199,600,846,447,1345,449
Ohio NCAA,901,2107,278,517,749,451,1136,481
Oklahoma State,746,1756,211,506,685,265,964,395
Oklahoma,794,1827,141,413,568,403,1055,396
Old Dominion,844,2082,207,473,766,562,1333,495
Oral Roberts,864,1786,182,557,747,363,979,436
Oregon State,995,2093,221,630,931,421,1160,507
Oregon,883,1884,246,515,726,360,1066,438
Pacific,644,1591,200,400,581,313,871,360
Penn State,695,1770,201,386,563,397,994,390
Pennsylvania,767,1731,238,374,513,281,888,414
Pepperdine,603,1523,144,369,560,350,943,394
Pittsburgh,981,2164,247,483,691,532,1286,495
Portland State,846,1751,185,561,761,334,1008,431
Portland,723,1691,162,410,571,328,935,483
Prairie View,755,1922,166,340,629,451,1112,514
Presbyterian,661,1425,171,396,563,254,785,374
Princeton,776,1681,236,353,520,266,980,394
Providence,772,1806,158,501,712,410,1063,391
Purdue NCAA,889,2019,284,452,689,391,1039,306
Quinnipiac,828,1943,141,474,743,534,1259,404
Radford,699,1819,202,359,564,395,944,445
Rhode Island,757,1888,165,447,648,487,1090,451
Rice,859,1921,195,525,768,335,1158,477
Richmond,724,1693,250,509,667,294,890,367
Rider,771,1712,246,503,699,296,964,483
Robert Morris,844,2020,240,604,862,525,1187,510
Rutgers,764,1802,169,398,571,409,974,475
Sacramento State,663,1470,152,397,568,279,846,383
Sacred Heart,807,1756,207,456,612,321,985,491
Saint Francis (PA),652,1422,135,324,496,245,736,457
Saint Joseph's,876,1862,226,468,676,324,1125,430
Saint Louis NCAA,814,1813,238,470,653,346,994,382
Saint Mary's (CA) NCAA,857,1811,245,508,697,378,1152,383
Saint Peter's,668,1646,154,309,477,321,851,484
Sam Houston State,657,1580,149,412,689,336,1036,493
Samford,712,1604,247,313,478,287,886,386
San Diego State NCAA,863,1903,197,493,703,360,1153,426
San Diego,744,1648,199,392,598,271,860,424
San Francisco,906,1942,239,512,745,354,1048,442
San Jose State,715,1810,232,437,586,342,944,341
Santa Clara,717,1751,239,412,582,344,923,348
Savannah State,746,1791,192,405,688,464,1075,487
Seattle,779,1792,191,316,454,371,1006,414
Seton Hall,833,1913,236,422,626,381,1112,431
Siena,718,1692,146,393,577,353,1018,437
South Alabama,682,1606,136,435,621,440,1051,468
South Carolina State,721,1827,142,417,641,447,1026,490
South Carolina Upstate,888,2024,207,443,695,505,1158,512
South Carolina,689,1713,204,321,458,383,879,396
South Dakota State NCAA,918,1963,284,569,783,363,1078,370
South Dakota,710,1576,191,371,530,242,829,365
South Florida NCAA,772,1765,169,421,597,374,1115,485
Southeast Missouri State,819,1724,181,373,592,353,976,405
Southeastern Louisiana,629,1530,128,352,596,330,957,446
Southern California,642,1658,127,272,445,256,790,341
SIU Edwardsville,626,1419,182,341,521,250,799,415
Southern Illinois,709,1711,135,391,611,371,922,437
Southern Methodist,645,1539,248,371,551,249,817,403
Southern Mississippi NCAA,819,1975,215,573,779,471,1133,377
Southern Utah,755,1594,82,446,617,302,888,432
Southern,659,1607,145,416,607,256,919,435
St. Bonaventure NCAA,770,1687,174,540,710,352,1038,439
St. Francis (NY),727,1685,239,391,590,344,962,486
St. John's (NY),757,1803,130,485,713,424,977,454
Stanford,938,2107,252,529,794,451,1227,512
Stephen F. Austin,724,1620,111,411,650,376,1024,437
Stetson,732,1660,229,396,570,341,973,514
Stony Brook,768,1800,199,390,563,448,1082,395
Syracuse NCAA,1006,2156,233,495,709,459,1181,389
Temple NCAA,861,1836,228,451,627,333,1019,401
Tennessee-Martin,701,1698,125,416,592,371,892,478
Tennessee State,774,1772,203,499,724,396,1023,516
