School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Central Florida,655,1509,206,320,498,331,999,455
Central Michigan,587,1436,147,360,539,312,909,535
Charleston Southern,709,1666,210,399,600,354,1000,402
Charlotte,760,1898,275,439,672,471,1238,410
Chattanooga,804,1795,191,521,811,372,1208,456
Chicago State,711,1712,204,434,630,383,974,408
Cincinnati,907,2117,211,505,676,442,1267,399
Citadel,726,1803,209,427,677,433,1085,460
Clemson,853,1955,238,434,703,466,1184,497
Cleveland State,646,1610,156,355,547,365,995,451
Coastal Carolina,761,1650,241,381,512,340,988,408
Colgate,597,1467,183,313,461,312,939,460
College of Charleston,745,1690,155,407,622,451,1172,457
Colorado State,801,1630,185,507,704,321,1056,528
Colorado,834,1920,240,397,615,476,1227,420
Columbia,604,1366,161,360,490,281,923,455
Connecticut NCAA,988,2088,188,617,874,533,1488,489
Coppin State,667,1668,173,412,599,306,921,391
Cornell,616,1446,196,334,468,267,901,392
Creighton,659,1573,214,450,653,342,1033,400
Dartmouth,609,1470,167,247,356,286,838,368
Davidson NCAA,855,1885,277,416,547,393,1215,399
Dayton,715,1669,187,347,520,379,1113,434
Delaware State,690,1597,207,427,636,337,918,450
Delaware,689,1679,214,391,603,366,1067,486
Denver,723,1629,177,437,583,287,1086,461
DePaul,641,1459,144,326,466,295,900,327
Detroit Mercy,759,1707,150,366,525,402,1084,436
Drake,745,1723,157,492,688,442,1116,490
Drexel,680,1745,175,395,589,429,1183,418
Duke NCAA,979,2011,274,689,905,350,1204,496
Duquesne,650,1536,166,320,438,290,877,382
East Carolina,586,1483,173,402,627,344,975,434
East Tennessee State,862,1827,163,397,615,409,1086,468
Eastern Illinois,585,1400,143,286,389,280,858,403
Eastern Kentucky,754,1616,226,371,542,302,894,394
Eastern Michigan,623,1394,179,410,574,289,885,486
Eastern Washington,796,1638,167,464,680,338,991,478
Elon,675,1565,182,414,608,328,1040,450
Evansville,640,1517,188,427,590,270,981,480
Fairfield,705,1658,232,376,503,314,897,325
Fairleigh Dickinson,871,1909,208,427,662,377,1176,468
Florida A&M,716,1641,139,501,719,,1091,558
Florida Atlantic,746,1572,216,347,506,311,898,422
Florida International,606,1479,162,353,587,312,999,504
Florida State,806,1681,184,506,719,338,1019,482
Florida NCAA,1061,2120,289,641,862,421,1402,561
Fordham,746,1746,239,437,637,382,1081,409
Fresno State,702,1714,265,398,560,332,967,377
Furman,716,1544,229,360,497,298,943,401
Gardner-Webb,727,1604,208,340,447,322,996,467
George Mason NCAA,897,1863,206,429,646,352,1221,449
George Washington NCAA,845,1814,182,488,755,421,1143,420
Georgetown NCAA,787,1682,223,380,538,354,1079,381
Georgia Southern,850,1857,206,419,605,371,1076,468
Georgia State,666,1609,189,367,557,336,944,409
Georgia Tech,739,1608,154,380,570,374,1042,499
Georgia,773,1793,209,355,545,394,1045,464
Gonzaga NCAA,897,1879,182,667,853,411,1239,434
Grambling,676,1614,141,335,504,344,1014,426
Green Bay,733,1690,204,398,545,343,1044,403
Hampton NCAA,762,1840,177,419,677,442,1258,516
Hartford,691,1584,163,345,543,419,1068,448
Harvard,603,1466,145,456,612,344,949,456
Hawaii,705,1532,146,337,531,314,966,375
High Point,792,1714,199,404,597,326,1015,465
Hofstra,875,1902,214,441,681,417,1197,447
Holy Cross,718,1693,202,486,677,375,1135,498
Houston,776,1908,286,407,631,408,1071,406
Howard,652,1550,179,400,533,308,870,473
Idaho State,722,1577,196,485,666,329,1018,435
Idaho,646,1583,165,295,450,319,890,387
Illinois-Chicago,774,1739,124,458,666,430,1133,426
Illinois State,575,1421,171,233,382,272,901,451
Illinois NCAA,848,1853,241,374,582,403,1179,406
Indiana State,666,1584,170,362,522,288,915,383
Indiana NCAA,797,1730,276,361,523,319,1053,446
Iona NCAA,881,1835,196,517,748,413,1140,468
Iowa State,868,1924,201,383,548,393,999,393
Iowa NCAA,781,1811,191,501,706,372,1285,506
Purdue-Fort Wayne,646,1546,202,292,412,260,865,371
IUPUI,671,1547,217,465,625,316,925,334
Jackson State,810,1940,177,497,704,384,1120,487
Jacksonville State,779,1675,224,438,629,351,950,409
Jacksonville,707,1627,172,397,580,327,963,503
James Madison,653,1622,166,331,535,406,993,456
Kansas State,683,1538,122,423,595,357,1018,419
Kansas NCAA,912,1923,205,451,671,433,1305,516
Kennesaw State,701,1720,211,426,617,363,902,398
Kent State NCAA,844,1887,237,533,745,377,1130,451
Kentucky NCAA,903,2020,265,406,601,449,1265,464
La Salle,687,1552,193,374,518,327,1002,390
Lafayette,626,1500,221,387,523,268,863,458
Lamar,889,1957,214,495,764,409,1203,444
Lehigh,661,1591,190,413,606,312,1080,456
Liberty,687,1660,152,389,585,322,1005,442
Lipscomb,817,1829,233,462,630,401,1172,487
Long Beach State,876,1922,256,490,698,386,1095,441
Long Island University,662,1604,242,365,536,323,942,411
Longwood,782,1814,165,465,694,405,1116,494
Louisiana,688,1556,167,393,610,307,1057,494
Louisiana-Monroe,632,1564,206,351,523,332,981,456
Louisiana State NCAA,972,2092,147,542,786,496,1447,555
Louisiana Tech,817,1947,147,401,632,523,1322,503
Louisville,813,1905,279,471,667,407,1222,449
Loyola (IL),762,1673,181,447,593,363,1033,383
Loyola Marymount,773,1841,143,489,714,401,1119,468
Loyola (MD),779,1709,223,371,539,380,1022,435
Maine,627,1514,216,342,484,277,962,424
Manhattan,832,1833,208,508,740,368,1091,400
Marist,790,1613,254,396,581,305,1021,387
Marquette NCAA,830,1823,263,402,549,377,1112,458
Marshall,640,1579,181,384,569,388,1024,455
Maryland-Baltimore County,711,1634,172,346,542,339,955,398
Maryland-Eastern Shore,679,1699,165,359,613,390,1036,497
Maryland,875,1952,155,600,821,458,1272,528
Massachusetts,647,1476,151,371,577,362,1043,476
McNeese State,704,1685,168,439,640,410,1013,470
Memphis NCAA,1034,2291,277,616,903,568,1528,575
Mercer,755,1705,172,376,549,351,1028,416
Miami (FL),825,1895,218,440,631,446,1187,421
Miami (OH),657,1424,170,338,459,231,912,386
Michigan State NCAA,896,1879,204,524,681,373,1212,478
Michigan,842,1753,218,465,617,342,1115,495
Middle Tennessee,679,1550,190,429,604,335,972,396
Milwaukee NCAA,797,1832,204,496,719,452,1185,421
Minnesota,742,1697,146,416,625,376,1075,447
Mississippi State,748,1682,167,380,600,402,1168,520
Mississippi Valley State,623,1478,154,313,514,348,919,430
Mississippi,711,1617,180,349,554,378,1013,474
Missouri-Kansas City,685,1609,216,388,535,308,886,338
Missouri State,801,1767,190,509,682,378,1144,442
Missouri,660,1542,172,364,559,354,944,442
Monmouth NCAA,787,1785,217,400,597,296,1114,510
Montana State,781,1682,253,380,591,315,1025,434
Montana NCAA,876,1781,228,469,653,348,1096,431
Morehead State,619,1444,125,316,455,283,847,454
Morgan State,602,1607,127,313,504,319,949,562
Mount St. Mary's,680,1642,175,404,562,326,964,411
Murray State NCAA,808,1795,230,357,548,410,1141,387
Navy,633,1567,191,442,612,381,997,509
Nebraska,736,1794,221,508,758,441,1275,515
Nevada-Las Vegas,775,1741,183,351,524,379,1081,444
Nevada NCAA,866,1901,179,490,682,420,1268,426
New Hampshire,569,1362,225,357,455,228,833,417
New Mexico State,735,1619,168,468,670,332,1030,490
New Mexico,690,1515,193,366,547,255,884,365
New Orleans,685,1596,178,364,557,330,964,430
Niagara,706,1702,223,503,674,421,1111,417
Nicholls State,678,1545,186,355,503,263,934,450
NJIT,638,1460,163,362,544,,897,
Norfolk State,708,1687,118,384,625,442,1183,537
North Carolina-Asheville,657,1552,154,417,581,359,1023,469
North Carolina A&T,628,1611,168,366,617,339,954,472
North Carolina-Greensboro,746,1687,185,455,700,377,1030,507
North Carolina State NCAA,793,1704,288,509,678,284,1050,434
North Carolina-Wilmington NCAA,807,1867,216,420,601,389,1191,414
North Carolina NCAA,863,1809,215,519,733,432,1237,512
North Dakota State,699,1503,176,453,618,355,1048,447
North Florida,692,1560,153,408,567,332,945,458
North Texas,764,1754,205,411,621,407,1085,448
Northeastern,812,1798,230,402,546,353,1111,411
Northern Arizona,856,1754,200,532,706,327,1080,532
Northern Colorado,686,1539,163,378,568,361,985,501
Northern Illinois,708,1460,190,400,562,284,908,378
Northern Iowa NCAA,754,1662,219,438,608,279,1100,401
Northwestern State NCAA,914,1981,226,519,779,458,1224,535
Northwestern,611,1369,201,273,404,195,771,356
Notre Dame,772,1718,288,459,630,355,1138,364
Oakland,744,1652,191,463,678,407,1054,450
Ohio State NCAA,833,1791,262,435,606,321,1088,379
Ohio,719,1570,218,421,606,330,986,424
Oklahoma State,844,1755,154,480,651,388,1115,570
Oklahoma NCAA,716,1586,174,389,545,420,1060,411
Old Dominion,810,1892,226,533,744,426,1262,438
Oral Roberts NCAA,866,1883,218,522,736,435,1215,472
Oregon State,704,1605,166,469,674,321,1028,479
Oregon,832,1826,225,406,596,377,1110,419
Pacific NCAA,858,1763,215,446,598,320,1135,419
Penn State,732,1666,186,371,554,358,1017,378
Pennsylvania NCAA,710,1595,196,371,550,302,919,382
Pepperdine,638,1556,124,381,563,323,970,408
Pittsburgh NCAA,840,1842,206,505,729,422,1281,452
Portland State,701,1548,201,414,615,355,1002,466
Portland,696,1612,164,457,634,296,925,406
Prairie View,713,1767,146,356,597,374,1001,514
Princeton,464,1123,208,266,344,150,605,360
Providence,713,1556,159,435,631,367,962,404
Purdue,669,1484,153,320,468,306,915,495
Quinnipiac,710,1605,195,444,614,331,1024,475
Radford,716,1689,208,494,677,345,1031,375
Rhode Island,648,1535,124,359,525,372,1011,351
Rice,674,1550,124,425,582,305,948,428
Richmond,545,1364,192,280,426,253,832,418
Rider,666,1565,228,421,588,291,977,438
Robert Morris,738,1711,260,400,558,392,1047,427
Rutgers,767,1786,233,506,700,359,1145,413
Sacramento State,802,1866,219,450,635,397,994,377
Sacred Heart,656,1458,126,415,598,318,978,460
Saint Francis (PA),602,1507,202,273,409,296,871,411
Saint Joseph's,711,1657,235,525,657,305,1066,420
Saint Louis,618,1494,140,373,536,316,995,385
Saint Mary's (CA),695,1580,203,456,638,360,1085,437
Saint Peter's,861,2042,241,422,582,475,1205,419
Sam Houston State,802,1754,226,479,779,400,1156,500
Samford,721,1509,298,296,412,235,833,332
San Diego State NCAA,839,1823,220,558,767,430,1176,498
San Diego,849,1766,227,431,623,342,1053,503
San Francisco,711,1657,184,329,497,355,989,399
San Jose State,756,1849,125,378,576,385,1105,429
Santa Clara,697,1647,170,420,592,353,1088,416
Savannah State,571,1561,153,398,568,289,886,606
Seton Hall NCAA,692,1690,174,475,637,375,1105,403
Siena,693,1624,222,476,627,306,947,371
South Alabama NCAA,797,1760,267,422,600,346,1049,415
South Carolina State,651,1509,112,395,571,335,1034,536
South Carolina,967,2101,262,379,559,439,1218,450
South Dakota State,651,1617,156,378,549,383,1036,536
South Florida,615,1465,146,360,524,328,980,529
Southeast Missouri State,582,1481,201,346,462,313,961,403
Southeastern Louisiana,678,1540,155,403,611,345,953,357
Southern California,727,1678,196,405,586,294,946,426
Southern Illinois NCAA,707,1714,183,397,579,384,1073,473
Southern Methodist,686,1588,142,407,580,362,1059,455
Southern Mississippi,652,1545,110,465,672,342,1004,455
Southern Utah,726,1524,226,377,535,214,876,439
Southern NCAA,787,1796,143,376,581,422,1234,561
St. Bonaventure,694,1622,122,329,525,372,984,365
St. Francis (NY),617,1501,175,312,474,315,931,411
St. John's (NY),590,1426,93,346,527,371,1029,436
Stanford,673,1580,146,500,655,337,1028,426
Stephen F. Austin,768,1671,160,408,589,364,1023,382
Stetson,746,1735,175,462,628,352,980,463
Stony Brook,599,1571,149,282,465,326,868,366
Syracuse NCAA,913,2083,260,449,698,476,1338,532
Temple,706,1785,224,368,610,386,1014,247
Tennessee-Martin,678,1534,137,547,774,332,959,407
Tennessee State,685,1523,200,376,560,336,936,399
Tennessee Tech,794,1804,202,474,687,416,1129,494
Tennessee NCAA,859,1852,264,431,615,352,1005,386
Texas A&M-Corpus Christi,837,1671,187,446,629,342,1068,482
Texas A&M NCAA,725,1627,203,477,702,325,993,416
Texas-Arlington,754,1655,191,485,714,383,1111,528
Texas Christian,639,1729,204,447,703,414,1054,491
Texas-El Paso,723,1610,169,459,695,326,1108,409
Texas-Rio Grande Valley,619,1571,119,450,661,357,983,501
Texas-San Antonio,751,1631,185,367,557,365,1087,531
Texas Southern,697,1696,166,502,784,385,1133,565
Texas State,629,1480,135,328,482,327,908,472
Texas Tech,775,1764,172,465,653,308,1068,448
Texas NCAA,983,2132,269,546,751,518,1498,498
Toledo,765,1648,198,423,616,305,915,483
Towson,696,1565,185,375,537,302,988,421
Troy,772,1800,344,278,396,329,1035,364
Tulane,640,1450,114,439,652,323,1040,532
Tulsa,585,1386,144,400,576,273,995,516
UCLA NCAA,939,1987,236,528,764,429,1303,562
Utah State NCAA,853,1714,232,369,511,304,1080,421
Utah Valley,689,1526,150,395,562,275,887,338
Utah,668,1433,182,361,540,305,962,465
Valparaiso,828,1738,218,410,603,358,1085,421
Vanderbilt,756,1642,242,350,502,327,944,386
Vermont,670,1564,169,427,649,358,1104,464
Villanova NCAA,809,1942,288,543,717,459,1198,370
Virginia Commonwealth,690,1589,225,359,495,315,926,362
VMI,685,1550,166,388,563,305,1009,492
Virginia Tech,767,1688,139,387,600,329,950,337
Virginia,703,1692,181,451,603,404,1121,434
Wagner,663,1509,149,337,530,352,1040,391
Wake Forest,851,1880,218,562,837,473,1338,554
Washington State,606,1410,129,288,402,236,874,393
Washington NCAA,982,2087,220,522,697,475,1232,486
Weber State,625,1416,133,406,578,306,881,391
West Virginia NCAA,835,1875,337,327,439,258,915,287
Western Carolina,700,1597,221,427,621,327,980,441
Western Illinois,638,1534,171,450,636,335,974,421
Western Kentucky,864,1827,257,423,618,468,1160,540
Western Michigan,689,1687,132,460,693,387,1075,450
Wichita State NCAA,839,1903,237,507,700,425,1317,449
William & Mary,647,1526,144,377,545,340,947,441
Winthrop NCAA,778,1735,238,482,697,402,1127,439
Wisconsin NCAA,776,1796,199,454,684,400,1124,359
Wofford,691,1555,216,349,517,264,898,393
Wright State,631,1423,119,399,585,312,899,378
Wyoming,725,1699,133,568,863,434,1240,543
Xavier NCAA,778,1685,218,516,713,338,1121,410
Yale,691,1544,154,403,605,307,1032,505
Youngstown State,687,1581,191,343,486,340,952,368
