School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
SIU Edwardsville,-5.50,689,1553,157,389,532,320,963,352
Southern Illinois,3.12,706,1507,171,561,799,292,1047,465
Southern Methodist,1.34,666,1563,203,387,562,326,1075,459
Southern Mississippi NCAA,3.61,766,1727,179,501,689,295,1091,486
Southern Utah,-3.18,715,1570,177,499,722,280,915,401
Southern,-11.35,672,1737,164,473,733,429,1221,411
St. Bonaventure NCAA,2.84,719,1723,185,458,642,328,967,400
St. Francis (NY),-6.75,711,1621,138,502,746,308,1019,448
St. John's (NY),6.98,830,1885,234,374,541,453,1216,463
Stanford,3.99,821,1987,207,488,751,362,1202,560
Stephen F. Austin,-5.67,609,1491,163,360,548,248,892,490
Stetson,-0.66,844,1821,202,385,584,372,1050,399
Stony Brook,-6.22,677,1615,221,317,450,259,936,434
Syracuse NCAA,8.02,795,2064,235,432,639,541,1348,591
Temple NCAA,4.94,806,1855,181,432,615,364,1088,428
Tennessee-Martin,-3.15,849,1682,166,463,672,336,1062,405
Tennessee State,-2.73,765,1735,222,447,648,322,1050,521
Tennessee Tech,-3.06,819,1809,219,500,683,345,1048,503
Tennessee,6.58,785,1905,181,465,673,372,1145,407
Texas A&M-Corpus Christi,-3.04,696,1600,175,463,699,341,1112,402
Texas A&M,6.54,672,1641,172,452,635,298,1033,389
Texas-Arlington,-5.09,767,1869,255,443,662,377,1128,580
Texas Christian,3.44,842,1762,194,501,724,313,1126,514
Texas-El Paso,2.85,718,1702,188,395,594,340,1033,389
Texas-Rio Grande Valley,-4.44,795,1782,187,417,589,367,1144,433
Texas-San Antonio,-4.40,759,1810,252,398,595,380,1139,517
Texas Southern,-8.68,727,1797,226,393,613,412,1151,531
Texas State,-5.31,776,1739,177,514,770,375,1165,527
Texas Tech,6.10,685,1620,184,560,776,344,1005,388
Texas NCAA,8.12,774,1862,199,523,772,409,1134,460
Toledo,-3.64,862,2027,246,415,634,463,1241,523
Towson,1.54,773,1753,244,441,639,377,1079,341
Troy,-0.85,763,1629,240,356,528,354,1082,416
Tulane,-1.61,677,1594,174,382,552,296,1032,448
Tulsa,2.85,688,1644,161,464,667,287,952,381
UCLA,5.28,723,1734,196,421,601,322,1044,452
Utah State,-0.37,863,2078,231,443,664,442,1210,400
Utah Valley,-7.11,797,1923,197,399,579,354,1156,398
Utah,5.49,780,1661,222,379,554,312,1063,336
Valparaiso,0.02,787,1860,194,455,661,343,1073,394
Vanderbilt NCAA,8.04,861,2055,206,411,587,407,1189,451
Vermont NCAA,-5.19,783,1930,191,436,643,387,1155,452
Villanova,7.64,781,1886,230,466,654,381,1114,377
Virginia Commonwealth NCAA,0.63,762,1796,174,456,660,393,1268,644
VMI,-5.16,979,2027,201,501,718,414,1305,536
Virginia Tech,6.21,733,1757,155,436,627,381,1124,415
Virginia NCAA,4.23,636,1589,149,314,495,266,946,413
Wagner,-5.50,649,1592,137,558,767,357,1054,532
Wake Forest,4.19,791,1795,219,381,552,371,1125,375
Washington State,4.06,839,1969,257,486,723,385,1142,435
Washington,5.27,866,2053,203,518,789,412,1223,482
Weber State,-3.65,780,1824,229,421,605,326,1079,395
West Virginia NCAA,7.53,815,1816,179,385,567,331,1043,444
Western Carolina,-3.42,852,1883,224,531,799,387,1240,531
Western Illinois,-1.39,707,1612,198,373,516,270,1017,435
Western Kentucky NCAA,0.51,839,1940,163,542,755,395,1264,510
Western Michigan,0.17,837,1965,230,471,674,376,1112,364
Wichita State NCAA,3.80,729,1856,186,416,603,321,1034,422
William & Mary,-0.72,799,1764,205,417,604,330,1113,312
Winthrop,-3.47,704,1583,217,487,686,283,1051,447
Wisconsin NCAA,8.24,708,1819,129,370,542,331,1122,388
Wofford,-3.79,752,1726,195,388,564,284,1037,373
Wright State,0.25,659,1452,203,446,661,265,1045,520
Wyoming,1.43,642,1564,161,410,580,274,1000,471
Xavier NCAA,6.22,828,2062,224,542,732,397,1228,452
Yale,-2.63,676,1619,162,364,527,278,946,370
Youngstown State,-1.65,739,1718,200,369,549,364,1129,404
