School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Harvard NCAA,671,1548,146,438,609,316,1025,349
Hawaii,901,2056,226,523,762,421,1231,467
High Point,862,1816,206,477,649,323,1086,376
Hofstra,902,2013,303,561,801,402,1240,379
Holy Cross,692,1643,189,406,568,305,930,328
Houston Baptist,728,1596,129,443,611,366,1061,429
Houston,705,1795,259,391,575,403,1129,425
Howard,695,1621,149,493,705,353,1110,517
Idaho State,699,1588,148,391,601,302,972,355
Idaho,805,1726,236,455,642,312,1086,360
Illinois-Chicago,724,1870,204,549,745,391,1142,375
Illinois State,846,1945,212,481,674,439,1256,449
Illinois,786,1903,238,471,593,351,1134,328
Incarnate Word,773,1647,204,548,747,267,969,329
Indiana State,681,1601,225,473,674,271,1008,437
Indiana NCAA,923,1989,319,468,651,407,1224,392
Iona,950,2051,344,538,768,348,1260,427
Iowa State NCAA,940,1973,263,502,721,323,1221,375
Iowa NCAA,821,1905,192,538,723,422,1274,377
Fort Wayne,754,1603,221,442,645,242,1001,365
IUPUI,692,1623,126,373,532,318,1009,482
Jackson State,701,1812,153,386,597,460,1188,459
Jacksonville State,647,1698,179,466,651,346,1043,377
Jacksonville,701,1710,203,453,685,317,1008,394
James Madison,748,1660,228,493,700,299,1067,431
Kansas State,690,1593,141,495,732,338,1015,424
Kansas NCAA,869,1976,213,610,842,426,1364,463
Kennesaw State,717,1775,214,379,518,343,1094,455
Kent State,797,1868,250,469,713,405,1222,393
Kentucky NCAA,1006,2150,203,685,943,491,1482,408
La Salle,738,1757,166,444,640,332,1126,429
Lafayette NCAA,872,1799,261,421,549,282,1017,366
Lamar,750,1658,169,477,701,376,1063,465
Lehigh,724,1640,164,430,593,294,1085,393
Liberty,717,1658,154,457,650,341,1132,522
Lipscomb,741,1769,253,497,715,345,1112,412
Long Beach State,761,1809,230,436,638,370,1126,445
Long Island University,677,1726,195,473,687,368,1121,411
Longwood,809,1899,275,418,580,324,1071,489
Louisiana,975,2125,240,599,848,452,1421,525
Louisiana-Monroe,923,2162,192,416,583,436,1400,439
Louisiana State NCAA,892,1962,189,450,658,401,1294,476
Louisiana Tech,945,2112,248,494,716,375,1210,390
Louisville NCAA,878,2048,198,529,792,454,1351,408
Loyola (IL),841,1776,224,418,608,291,1078,466
Loyola Marymount,678,1622,160,412,580,351,1011,422
Loyola (MD),607,1591,148,402,599,346,1047,388
Maine,647,1599,197,321,442,238,881,432
Manhattan NCAA,756,1748,215,573,829,345,1065,481
Marist,649,1629,226,433,619,230,936,436
Marquette,742,1699,207,392,608,306,1000,402
Marshall,738,1840,249,412,636,357,1195,499
Maryland-Baltimore County,591,1441,153,347,539,225,902,467
Maryland-Eastern Shore,752,1660,213,512,781,379,1100,504
Maryland NCAA,781,1777,258,597,790,314,1223,431
Massachusetts-Lowell,610,1481,223,337,508,212,837,383
Massachusetts,772,1785,144,532,756,384,1177,451
McNeese State,792,1873,193,377,579,413,1118,333
Memphis,802,1827,166,385,578,409,1195,427
Mercer,808,1840,212,506,736,385,1191,377
Miami (FL),878,2053,292,544,729,377,1317,385
Miami (OH),739,1679,187,456,643,268,984,411
Michigan State NCAA,1014,2181,294,451,714,436,1458,441
Michigan,734,1724,250,353,468,267,966,306
Middle Tennessee,773,1867,242,497,710,386,1215,469
Milwaukee,659,1564,211,434,589,264,982,382
Minnesota,890,1924,243,426,634,352,1087,400
Mississippi State,669,1557,133,506,727,324,1099,474
Mississippi Valley State,738,1911,157,412,630,382,1052,481
Mississippi NCAA,848,2003,220,559,723,430,1284,378
Missouri-Kansas City,723,1776,216,502,724,374,1037,443
Missouri State,654,1612,158,384,525,316,1008,377
Missouri,683,1694,196,373,560,327,1050,417
Monmouth,730,1702,171,503,697,320,1080,426
Montana State,662,1665,246,347,482,317,1009,411
Montana,828,1786,274,417,581,295,1055,391
Morehead State,854,1930,220,490,684,422,1205,462
Morgan State,673,1877,163,389,622,468,1098,332
Mount St. Mary's,662,1645,228,341,500,325,979,367
Murray State,961,1995,263,579,831,422,1292,411
Navy,719,1637,170,344,513,301,982,391
Omaha,767,1724,179,513,737,321,1009,391
Nebraska,664,1613,161,416,588,277,1022,389
Nevada-Las Vegas,808,1816,236,398,600,301,1170,376
Nevada,637,1673,111,489,703,457,1221,436
New Hampshire,747,1712,231,423,627,302,1174,394
New Mexico State NCAA,808,1748,165,535,771,428,1199,470
New Mexico,686,1588,148,401,609,331,1081,392
New Orleans,704,1604,123,531,770,365,1014,452
Niagara,642,1608,184,460,662,343,1016,408
Nicholls State,662,1511,155,404,645,314,981,492
NJIT,808,1768,279,473,680,319,1110,450
Norfolk State,850,1801,190,495,751,370,1224,460
North Carolina-Asheville,780,1774,233,449,619,352,1120,437
North Carolina A&T,648,1622,157,431,633,366,1066,483
North Carolina Central,813,1668,219,433,632,312,1121,414
North Carolina-Greensboro,838,1895,216,398,613,364,1138,414
North Carolina State NCAA,895,2054,236,499,727,435,1369,375
North Carolina-Wilmington,810,1834,162,457,677,359,1131,395
North Carolina NCAA,1099,2309,184,571,814,526,1541,481
North Dakota State NCAA,743,1713,230,425,614,274,1098,325
North Dakota,713,1637,180,426,628,260,961,373
North Florida NCAA,897,1910,317,540,747,339,1219,436
North Texas,726,1678,147,426,677,338,1094,420
Northeastern NCAA,838,1725,203,518,713,297,1160,483
Northern Arizona,878,2175,255,595,793,501,1463,447
Northern Colorado,804,1691,204,430,602,339,978,313
Northern Illinois,661,1543,149,500,735,373,1039,426
Northern Iowa NCAA,776,1618,257,472,644,255,1071,363
Northern Kentucky,779,1693,226,333,507,299,1014,348
Northwestern State,946,2052,264,531,709,372,1106,392
Northwestern,727,1669,228,349,477,277,1052,357
Notre Dame NCAA,1050,2061,302,561,756,313,1231,357
Oakland,857,1854,259,477,695,340,1109,416
Ohio State NCAA,964,1995,236,471,693,387,1241,396
Ohio,727,1678,217,357,486,268,1023,382
Oklahoma State NCAA,733,1667,226,468,645,287,1039,392
Oklahoma NCAA,885,2035,236,495,668,389,1332,419
Old Dominion,836,1935,207,394,592,438,1267,377
Oral Roberts,798,1859,205,576,801,363,1157,396
Oregon State,665,1577,160,397,573,293,973,365
Oregon NCAA,992,2143,263,466,613,372,1298,421
Pacific,681,1633,202,432,667,385,1076,391
Penn State,795,1893,227,456,656,354,1201,414
Pennsylvania,599,1379,155,334,495,258,886,419
Pepperdine,704,1666,145,467,630,300,1062,395
Pittsburgh,835,1866,164,445,650,407,1136,336
Portland State,723,1645,193,444,598,283,942,324
Portland,810,1825,216,479,668,389,1173,402
Prairie View,822,1923,177,390,604,388,1072,471
Presbyterian,741,1656,136,360,546,296,1029,415
Princeton,673,1455,252,468,658,189,913,366
Providence NCAA,828,1889,171,543,768,411,1228,407
Purdue NCAA,827,1840,195,524,767,409,1249,444
Quinnipiac,715,1813,165,497,643,491,1361,416
Radford,892,1946,212,480,695,411,1240,408
Rhode Island,777,1732,146,532,812,362,1183,453
Rice,679,1615,289,405,548,276,1019,459
Richmond,834,1821,231,414,600,240,1025,346
Rider,784,1790,200,385,638,357,1131,413
Robert Morris NCAA,854,1926,221,485,684,367,1162,467
Rutgers,687,1751,152,372,570,359,1118,417
Sacramento State,841,1729,208,452,614,276,974,355
Sacred Heart,874,1911,169,443,685,401,1225,439
Saint Francis (PA),724,1653,226,387,576,267,998,398
Saint Joseph's,688,1704,167,369,600,352,1099,387
Saint Louis,652,1587,172,436,666,290,979,443
Saint Mary's (CA),752,1645,225,412,576,328,1115,375
Saint Peter's,698,1695,193,492,745,353,1109,413
Sam Houston State,846,1973,266,634,898,463,1409,455
Samford,780,1756,204,452,661,326,1015,414
San Diego State NCAA,800,1916,189,437,694,439,1270,410
San Diego,690,1636,192,434,632,321,1016,365
San Francisco,783,1735,203,446,709,340,1113,376
San Jose State,553,1559,196,310,475,272,939,426
Santa Clara,711,1675,222,383,520,296,956,339
Savannah State,633,1549,102,315,548,328,907,513
Seattle,740,1674,236,407,612,324,1149,466
Seton Hall,735,1745,213,436,664,391,1123,385
Siena,748,1736,152,516,727,395,1023,389
South Alabama,762,1813,214,537,764,360,1175,474
South Carolina State,706,1846,184,369,612,394,1142,412
South Carolina Upstate,938,2124,290,413,631,482,1372,390
South Carolina,735,1819,180,496,673,406,1178,424
South Dakota State,867,1918,280,556,780,337,1254,399
South Dakota,811,1924,212,475,650,384,1169,372
South Florida,745,1720,136,344,556,343,1084,436
Southeast Missouri State,742,1686,189,414,621,346,1050,394
Southeastern Louisiana,807,1760,185,387,582,311,1068,492
Southern California,787,1863,170,399,629,366,1149,446
SIU Edwardsville,660,1532,198,391,579,292,969,375
Southern Illinois,681,1626,138,468,667,327,1027,423
Southern Methodist NCAA,832,1750,145,541,770,388,1244,426
Southern Mississippi,618,1438,183,323,515,248,863,408
Southern Utah,700,1537,210,401,599,218,920,393
Southern,801,1895,150,507,775,403,1262,462
St. Bonaventure,733,1723,158,461,653,384,1153,384
St. Francis (NY),837,2005,195,549,809,521,1361,459
St. John's (NY) NCAA,835,1890,198,475,687,336,1164,352
Stanford,908,2089,246,614,846,428,1363,399
Stephen F. Austin NCAA,911,1870,262,588,799,413,1176,476
Stetson,744,1717,193,383,583,297,1041,384
Stony Brook,835,1999,191,429,647,488,1395,416
Syracuse,763,1775,155,415,629,373,1135,370
Temple,833,2149,235,535,765,453,1410,352
Tennessee-Martin,855,1838,268,412,582,332,1175,394
Tennessee State,611,1548,170,401,648,297,1022,446
Tennessee Tech,768,1741,169,413,609,396,1110,412
Tennessee,725,1706,194,381,551,396,1040,387
Texas A&M-Corpus Christi,748,1678,165,605,881,333,1101,430
Texas A&M,805,1778,181,445,676,374,1197,410
Texas-Arlington,779,1773,205,457,679,352,1144,453
Texas Christian,791,1809,150,517,841,445,1214,395
Texas-El Paso,800,1717,185,497,752,312,1140,406
Texas-Rio Grande Valley,678,1610,130,441,652,322,1000,417
Texas-San Antonio,717,1701,191,495,708,387,1071,370
Texas Southern NCAA,818,1840,185,569,861,394,1193,454
Texas State,664,1645,159,418,606,315,1003,395
Texas Tech,652,1610,169,476,742,374,1072,442
Texas NCAA,796,1837,212,486,671,422,1351,435
Toledo,863,1837,195,562,757,360,1204,405
Towson,689,1678,134,522,787,468,1256,423
Troy,674,1566,192,406,612,316,986,410
Tulane,699,1700,199,376,579,365,1076,397
Tulsa,758,1820,188,484,746,375,1246,389
UCLA NCAA,930,2099,223,507,750,440,1367,430
Utah State,721,1596,233,389,579,215,978,323
Utah Valley,616,1540,169,357,514,297,989,385
Utah NCAA,849,1760,264,534,760,322,1204,407
Valparaiso NCAA,837,1836,236,456,676,397,1276,422
Vanderbilt,838,1775,255,541,764,339,1184,452
Vermont,801,1701,182,495,715,274,1129,442
Villanova NCAA,916,1951,326,596,815,371,1235,382
Virginia Commonwealth NCAA,896,2139,293,524,797,444,1277,383
VMI,829,2074,342,415,607,434,1178,449
Virginia Tech,779,1747,241,357,558,274,978,386
Virginia NCAA,804,1758,170,446,614,358,1232,316
Wagner,722,1804,179,429,616,445,1112,420
Wake Forest,762,1809,206,479,751,375,1200,428
Washington State,743,1712,214,489,679,282,1026,367
Washington,765,1747,193,405,593,329,1082,361
Weber State,641,1518,217,511,683,283,997,402
West Virginia NCAA,872,2138,227,571,863,575,1272,453
Western Carolina,799,1839,197,456,651,401,1130,435
Western Illinois,618,1543,188,323,463,207,907,352
Western Kentucky,793,1824,248,451,690,363,1190,413
Western Michigan,819,1802,236,527,750,338,1108,406
Wichita State NCAA,860,1933,239,501,715,415,1245,327
William & Mary,834,1726,293,453,617,248,1065,379
Winthrop,812,1809,251,481,664,332,1127,387
Wisconsin NCAA,1014,2115,288,584,765,383,1338,296
Wofford NCAA,818,1802,222,473,688,324,1139,379
Wright State,715,1619,194,365,524,232,902,373
Wyoming NCAA,747,1619,209,448,638,216,1047,392
Xavier NCAA,956,2011,234,566,775,364,1282,447
Yale,740,1667,220,464,653,360,1139,406
Youngstown State,807,1826,208,465,670,315,1055,374
