School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Stony Brook,860,1900,184,522,725,394,1251,426
Syracuse NCAA,819,1873,167,506,715,446,1200,306
Temple,828,1934,201,434,614,383,1102,327
Tennessee-Martin,792,1870,218,502,692,350,982,361
Tennessee State,707,1647,147,500,714,344,1007,371
Tennessee Tech,822,1810,185,547,808,390,1171,487
Tennessee NCAA,927,2048,205,613,852,501,1424,388
Texas A&M-Corpus Christi,837,1764,148,528,796,365,1135,405
Texas A&M,774,1821,197,454,707,325,1147,386
Texas-Arlington,815,1865,259,554,785,373,1185,431
Texas Christian,654,1623,146,519,709,259,928,362
Texas-El Paso,797,1714,151,602,880,348,1233,451
Texas-Rio Grande Valley,755,1828,155,436,660,349,1058,391
Texas-San Antonio,654,1545,181,577,836,360,1038,473
Texas Southern NCAA,857,1854,217,653,910,386,1246,454
Texas State,697,1604,145,364,549,313,1004,425
Texas Tech,783,1718,140,484,665,377,1054,385
Texas NCAA,905,2095,178,610,909,528,1449,426
Toledo,929,1996,193,643,887,421,1218,346
Towson,867,1910,213,686,998,433,1395,415
Troy,703,1688,219,496,750,361,1102,377
Tulane,694,1681,205,571,823,351,1146,436
Tulsa NCAA,835,1899,197,604,894,368,1231,394
UCLA NCAA,1073,2196,229,628,839,368,1308,379
Utah State,782,1732,220,431,587,347,1166,353
Utah Valley,731,1676,208,491,650,294,1087,355
Utah,869,1781,204,537,723,299,1162,396
Valparaiso,813,1738,233,580,790,337,1220,506
Vanderbilt,689,1598,191,433,658,305,1069,414
Vermont,785,1673,195,569,785,327,1131,396
Villanova NCAA,870,1907,304,607,848,379,1263,406
Virginia Commonwealth NCAA,922,2196,260,520,772,479,1317,423
VMI,1088,2441,313,600,842,503,1452,371
Virginia Tech,665,1639,215,405,625,336,1138,392
Virginia NCAA,855,1884,206,533,792,379,1312,362
Wagner,776,1849,169,496,679,404,1221,395
Wake Forest,784,1740,166,566,871,336,1143,410
Washington State,654,1633,234,392,596,308,1016,355
Washington,835,1871,187,527,695,354,1105,365
Weber State NCAA,732,1541,222,568,767,265,1065,382
West Virginia,866,1973,258,556,771,393,1176,323
Western Carolina,868,2041,248,540,754,461,1226,413
Western Illinois,667,1467,142,362,545,238,914,400
Western Kentucky,732,1766,235,495,755,401,1171,434
Western Michigan NCAA,779,1684,195,620,856,323,1143,464
Wichita State NCAA,896,1942,250,664,916,419,1381,374
William & Mary,798,1676,281,463,667,250,994,331
Winthrop,821,1843,272,528,741,333,1072,412
Wisconsin NCAA,927,2019,297,642,861,337,1266,307
Wofford NCAA,808,1804,196,393,592,352,1090,351
Wright State,817,1793,220,565,765,263,1061,480
Wyoming,724,1533,189,493,689,171,953,346
Xavier NCAA,869,1850,174,530,770,379,1213,421
Yale,721,1725,175,592,853,398,1179,427
Youngstown State,836,1822,249,540,735,297,1065,357
