School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
UC-Riverside,716,1779,185,407,580,312,1089,428
UC-Santa Barbara,877,1891,257,414,594,326,1176,337
University of California,767,1887,148,484,717,426,1140,470
Campbell,891,1867,313,486,648,229,1085,403
Canisius,901,1942,304,413,581,335,1101,430
Central Arkansas,980,2162,286,573,780,354,1271,480
Central Connecticut State,788,1740,198,397,568,321,1130,473
Central Florida,690,1627,177,450,702,305,1108,431
Central Michigan,953,2187,356,573,711,398,1305,417
Charleston Southern,802,1793,208,420,581,345,1071,408
Charlotte,706,1634,198,456,637,269,990,428
Chattanooga,784,1804,276,445,626,306,1072,460
Chicago State,774,1898,169,454,627,323,1042,483
Cincinnati NCAA,944,2100,262,523,756,477,1413,404
Citadel,889,2148,386,475,673,374,1183,477
Clemson NCAA,899,1971,288,498,660,310,1256,414
Cleveland State,853,1965,294,402,572,270,1063,458
Coastal Carolina,787,1813,218,506,702,388,1244,479
Colgate,829,1897,309,427,552,296,1083,363
College of Charleston NCAA,875,1905,259,527,699,285,1129,339
Colorado State,811,1941,225,467,651,375,1200,426
Colorado,810,1839,241,446,612,324,1200,451
Columbia,746,1686,269,301,407,277,962,338
Connecticut,762,1832,215,442,593,326,1096,403
Coppin State,657,1824,265,366,497,273,1082,462
Cornell,744,1613,217,419,574,232,961,376
Creighton NCAA,1008,2050,343,397,531,246,1206,371
Dartmouth,651,1454,200,339,475,208,847,365
Davidson NCAA,899,1874,353,368,461,225,1078,315
Dayton,804,1671,248,388,531,240,968,426
Delaware State,742,1781,192,358,516,337,1066,489
Delaware,859,1880,192,428,657,314,1150,354
Denver,803,1699,211,375,540,311,1107,451
DePaul,819,1912,194,398,562,383,1160,430
Detroit Mercy,883,2031,281,469,621,334,1114,435
Drake,862,1972,289,493,640,274,1158,412
Drexel,880,1994,227,467,646,369,1197,409
Duke NCAA,1125,2288,309,562,791,492,1519,460
Duquesne,801,1874,261,454,663,387,1148,383
East Carolina,741,1723,182,329,494,292,1020,431
East Tennessee State,926,1957,244,460,648,352,1265,454
Eastern Illinois,732,1726,224,377,551,331,1064,417
Eastern Kentucky,778,1779,226,448,600,290,1022,401
Eastern Michigan,933,2010,234,409,599,353,1230,447
Eastern Washington,936,2017,310,437,572,255,1163,402
Elon,842,1916,337,325,457,256,1140,373
Evansville,731,1652,184,448,578,240,1058,431
Fairfield,881,2009,303,441,621,301,1159,421
Fairleigh Dickinson,842,1868,213,416,573,339,1067,426
Florida A&M,831,1981,217,464,641,344,1094,471
Florida Atlantic,790,1929,179,396,536,357,1194,393
Florida Gulf Coast,1045,2117,254,503,680,368,1338,494
Florida International,815,1912,203,429,704,321,1150,354
Florida State NCAA,994,2125,273,543,786,393,1322,456
Florida NCAA,893,2065,308,483,673,366,1198,335
Fordham,692,1680,227,320,452,198,884,386
Fresno State,885,1805,216,473,682,293,1082,384
Furman,942,2006,338,397,557,316,1157,382
Gardner-Webb,822,1850,236,378,526,298,1141,437
George Mason,841,1949,230,459,619,329,1213,425
George Washington,832,1861,180,381,537,350,1120,419
Georgetown,800,1763,226,524,676,325,1151,458
Georgia Southern,857,1992,267,523,789,402,1248,372
Georgia State NCAA,937,2033,323,417,615,303,1182,395
Georgia Tech,753,1770,156,439,616,334,1084,411
Georgia,767,1825,201,512,732,406,1301,420
Gonzaga NCAA,1125,2261,328,513,725,405,1477,420
Grambling,777,1852,154,547,769,377,1193,477
Grand Canyon,855,1992,251,551,785,403,1310,450
Green Bay,859,2027,295,504,670,334,1241,453
Hampton,970,2173,198,565,727,385,1372,440
Hartford,835,1840,270,386,569,274,1100,402
Harvard,764,1775,257,397,512,284,1115,445
Hawaii,721,1630,202,460,670,267,995,402
High Point,775,1691,163,413,588,322,1039,375
Hofstra,868,1868,260,468,686,339,1103,334
Holy Cross,724,1569,203,321,465,178,880,381
Houston Baptist,860,2058,219,443,710,471,1219,438
Houston NCAA,952,2066,297,484,674,404,1352,418
Howard,847,1997,268,487,688,369,1153,442
Idaho State,778,1639,252,403,594,202,962,408
Idaho,819,1749,277,415,565,307,1138,411
Illinois-Chicago,951,2115,242,564,768,368,1384,544
Illinois State,813,1917,301,437,640,315,1171,438
Illinois,856,1949,236,478,653,398,1053,425
Incarnate Word,671,1566,166,470,630,279,976,442
Indiana State,762,1803,270,454,644,321,1124,445
Indiana,806,1767,194,423,644,345,1099,386
Iona NCAA,957,2076,324,462,626,290,1146,395
Iowa State,817,1870,234,390,557,338,1134,369
Iowa,946,1975,252,486,699,391,1258,441
Purdue-Fort Wayne,953,2073,339,471,654,315,1157,391
IUPUI,731,1723,213,372,559,347,1022,427
Jackson State,714,1921,238,325,497,401,1087,368
Jacksonville State,954,2091,211,468,657,406,1371,469
Jacksonville,897,1993,202,409,622,330,1180,472
James Madison,812,1933,231,486,667,361,1148,383
Kansas State NCAA,937,2025,254,502,684,299,1136,423
Kansas NCAA,1165,2366,391,453,640,372,1388,456
Kennesaw State,805,1771,160,412,597,306,987,409
Kent State,871,2049,255,485,666,390,1220,442
Kentucky NCAA,998,2115,195,649,930,439,1431,480
La Salle,817,1905,234,465,591,292,1124,374
Lafayette,777,1709,263,390,507,210,1026,411
Lamar,873,2026,257,497,757,425,1246,430
Lehigh,835,1845,293,373,480,269,1074,380
Liberty,899,1948,300,523,660,269,1239,438
Lipscomb NCAA,924,2040,267,593,826,346,1276,493
Long Beach State,866,1917,196,557,765,382,1195,501
Long Island University NCAA,935,2055,279,547,786,367,1327,496
Longwood,728,1764,226,406,591,263,1070,516
Louisiana,971,2093,297,590,775,435,1325,455
Louisiana-Monroe,811,1863,288,325,453,294,1077,380
Louisiana State,916,1926,268,459,628,317,1101,382
Louisiana Tech,838,1877,287,505,697,313,1137,405
Louisville,969,2140,280,503,683,358,1317,425
Loyola (IL) NCAA,995,1963,277,454,626,229,1222,472
Loyola Marymount,803,1813,200,421,593,377,1011,407
Loyola (MD),797,1820,163,397,608,332,1076,414
Maine,765,1873,225,385,559,304,1131,496
Manhattan,737,1661,239,434,625,319,1030,482
Marist,761,1710,280,437,612,233,1041,488
Marquette,989,2081,385,483,600,314,1114,431
Marshall NCAA,1042,2232,362,571,747,288,1287,476
Maryland-Baltimore County NCAA,926,2088,364,414,641,347,1245,440
Maryland-Eastern Shore,710,1844,206,366,542,347,1065,417
Maryland,811,1696,229,487,645,305,1149,438
Massachusetts-Lowell,791,1719,215,489,690,282,969,405
Massachusetts,861,1918,293,359,481,300,1084,423
McNeese State,780,1787,205,419,590,339,1144,416
Memphis,828,1832,201,551,798,391,1166,467
Mercer,878,1854,288,517,680,325,1176,424
Miami (FL) NCAA,875,1881,247,362,547,317,1113,367
Miami (OH),886,2006,301,376,548,336,1232,453
Michigan State NCAA,991,1996,290,535,716,401,1439,459
Michigan NCAA,1092,2335,361,474,717,336,1367,379
Middle Tennessee,902,1914,241,434,585,346,1182,413
Milwaukee,834,1872,235,356,528,289,1146,412
Minnesota,850,1971,218,487,692,371,1221,352
Mississippi State,1000,2151,256,460,666,398,1335,483
Mississippi Valley State,758,1979,171,388,575,393,1138,421
Mississippi,841,1999,251,493,675,393,1215,365
Missouri-Kansas City,756,1859,284,455,640,259,1018,411
Missouri State,851,1953,234,377,527,389,1276,382
Missouri NCAA,794,1765,306,505,688,332,1225,469
Monmouth,787,1718,223,539,758,276,1115,473
Montana State,817,1929,257,543,746,358,1168,399
Montana NCAA,944,2021,186,551,780,400,1258,422
Morehead State,712,1655,204,415,592,338,1041,456
Morgan State,787,1883,161,538,742,421,1187,435
Mount St. Mary's,809,1778,323,390,532,212,918,351
Murray State NCAA,870,1803,271,504,687,340,1186,384
Navy,771,1737,206,451,627,342,1113,453
Omaha,877,1913,254,365,517,280,1044,409
Nebraska,820,1906,232,514,716,356,1191,362
Nevada-Las Vegas,978,2000,185,612,868,393,1333,473
Nevada NCAA,1049,2238,354,603,812,339,1316,357
New Hampshire,725,1803,252,401,544,352,1189,362
New Mexico State NCAA,963,2104,258,388,603,427,1402,429
New Mexico,939,2065,367,550,708,315,1073,422
New Orleans,815,1798,159,508,755,367,1128,498
Niagara,944,2124,272,588,808,390,1286,373
Nicholls State,941,1994,260,499,696,353,1189,490
NJIT,808,1803,236,396,579,331,1063,399
Norfolk State,858,1992,254,429,639,411,1270,507
North Carolina-Asheville,912,1921,277,456,615,280,1152,468
North Carolina A&T,929,2010,213,552,776,344,1252,482
North Carolina Central NCAA,949,2060,212,410,597,410,1336,495
North Carolina-Greensboro NCAA,924,2075,331,383,549,417,1307,481
North Carolina State NCAA,965,2054,263,489,703,400,1176,400
North Carolina-Wilmington,920,2109,244,458,664,441,1310,414
North Carolina NCAA,1105,2417,305,503,677,511,1570,445
North Dakota State,837,1783,294,414,544,231,1102,402
North Dakota,863,1879,233,468,663,225,984,417
North Florida,939,2058,357,433,570,313,1159,478
North Texas,1012,2243,302,502,761,405,1451,495
Northeastern,859,1776,302,452,617,258,1083,450
Northern Arizona,698,1750,178,526,750,317,1074,497
Northern Colorado,1104,2347,334,540,784,356,1430,465
Northern Illinois,849,1860,169,452,623,314,1102,378
Northern Iowa,720,1714,229,387,537,263,1109,364
Northern Kentucky,898,1892,258,432,591,309,1176,399
Northwestern State,692,1678,125,359,588,359,1036,496
Northwestern,773,1813,255,402,538,320,1059,374
Notre Dame,945,2131,300,508,670,384,1324,355
Oakland,884,1966,275,537,697,326,1203,434
Ohio State NCAA,951,1980,239,450,616,330,1245,399
Ohio,839,1893,244,412,579,257,1127,412
Oklahoma State,959,2224,296,543,717,463,1348,466
Oklahoma NCAA,954,2063,300,510,684,337,1229,428
Old Dominion,844,1888,228,431,623,373,1207,332
Oral Roberts,879,2010,220,354,517,440,1226,411
Oregon State,830,1779,192,487,688,332,1119,424
Oregon,986,2155,324,521,683,372,1262,434
Pacific,804,1782,151,521,715,332,1086,368
Penn State,1057,2291,294,507,722,422,1385,463
Pennsylvania NCAA,893,1948,291,429,651,283,1239,391
Pepperdine,822,1829,186,453,646,324,1077,376
Pittsburgh,678,1673,258,371,534,247,1007,443
Portland State,1034,2333,300,529,751,488,1306,431
Portland,781,1745,255,404,596,205,1014,383
Prairie View,890,2043,247,532,793,400,1182,460
Presbyterian,749,1760,276,350,510,290,1003,368
Princeton,753,1661,287,313,443,220,949,334
Providence NCAA,899,2037,223,554,787,367,1247,430
Purdue NCAA,1033,2097,353,555,747,311,1295,399
Quinnipiac,787,1864,303,487,690,330,1142,446
Radford NCAA,850,2000,277,445,614,414,1244,441
Rhode Island NCAA,954,2096,236,439,630,386,1170,362
Rice,711,1751,260,432,646,326,1140,460
Richmond,843,1830,222,389,544,248,972,373
Rider,932,2004,243,513,844,421,1253,424
Robert Morris,794,1932,242,442,663,392,1176,489
Rutgers,830,2042,145,409,635,447,1316,397
Sacramento State,800,1802,202,355,519,266,1024,385
Sacred Heart,796,1823,179,358,540,373,1238,460
Saint Francis (PA),860,1845,250,480,630,274,1046,359
Saint Joseph's,826,1953,255,464,675,289,1201,320
Saint Louis,731,1734,185,523,802,387,1188,420
Saint Mary's (CA),1014,1970,284,460,598,298,1213,357
Saint Peter's,740,1762,253,352,488,292,1050,416
Sam Houston State,900,2115,257,514,719,430,1356,473
Samford,870,1846,289,454,594,263,974,435
San Diego State NCAA,902,1967,239,502,702,364,1250,394
San Diego,802,1775,289,492,692,250,1117,445
San Francisco,952,2256,333,448,663,381,1393,464
San Jose State,705,1618,178,386,558,277,1073,488
Santa Clara,718,1674,232,380,524,243,887,350
Savannah State,940,2350,391,483,694,423,1222,448
Seattle,881,1975,312,515,698,365,1298,484
Seton Hall NCAA,971,2073,250,509,729,414,1302,432
Siena,752,1790,220,442,652,352,1146,483
South Alabama,752,1785,252,472,674,300,1165,479
South Carolina State,829,1948,205,492,706,363,1092,444
South Carolina Upstate,881,2045,328,334,460,335,1062,370
South Carolina,756,1899,240,561,800,415,1228,455
South Dakota State NCAA,1003,2147,374,578,759,308,1360,353
South Dakota,1017,2136,243,555,740,353,1319,388
South Florida,707,1690,207,405,560,309,1065,449
Southeast Missouri State,796,1729,289,474,650,273,1005,388
Southeastern Louisiana,867,1911,250,455,692,357,1158,468
Southern California,1022,2174,296,458,649,370,1252,383
SIU Edwardsville,734,1759,212,410,580,324,1024,409
Southern Illinois,839,1817,215,415,596,281,1079,420
Southern Methodist,814,1835,281,384,560,365,1109,383
Southern Mississippi,872,1958,254,403,573,254,1035,333
Southern Utah,824,1887,253,515,698,268,1084,408
Southern,781,1937,177,540,793,429,1285,435
St. Bonaventure NCAA,884,1959,255,597,794,344,1208,391
St. Francis (NY),784,1889,271,421,591,322,1046,390
St. John's (NY),867,1999,232,446,602,288,1110,393
Stanford,925,2007,233,572,835,395,1368,525
Stephen F. Austin NCAA,1000,2059,242,577,819,399,1248,540
Stetson,907,2053,250,348,518,292,1099,350
Stony Brook,779,1866,249,398,606,364,1152,448
Syracuse NCAA,832,1995,208,594,807,433,1375,460
Temple,845,1990,271,347,509,337,1120,357
Tennessee-Martin,808,1806,210,309,426,306,1086,449
Tennessee State,669,1574,223,436,590,261,989,442
Tennessee Tech,844,1924,242,483,710,336,1174,471
Tennessee NCAA,885,2012,273,541,715,404,1262,422
Texas A&M-Corpus Christi,691,1589,149,432,603,292,1005,461
Texas A&M NCAA,976,2121,230,449,679,429,1450,476
Texas-Arlington,927,2054,294,492,713,375,1333,507
Texas Christian NCAA,979,1973,274,476,674,365,1201,419
Texas-El Paso,754,1736,224,362,542,217,1036,381
Texas-Rio Grande Valley,833,2061,205,619,835,379,1240,447
Texas-San Antonio,972,2224,353,443,656,374,1394,440
Texas Southern NCAA,925,2111,280,657,906,368,1301,453
Texas State,773,1782,214,430,651,363,1144,442
Texas Tech NCAA,964,2096,252,579,823,396,1332,454
Texas NCAA,882,2010,245,441,663,358,1217,399
Toledo,913,1953,327,534,725,319,1253,395
Towson,889,1905,210,458,667,398,1219,405
Troy,848,1930,292,487,662,319,1194,408
Tulane,800,1779,232,437,613,294,1068,409
Tulsa,754,1730,247,522,720,346,1177,399
UCLA NCAA,927,2014,310,515,715,335,1283,399
Utah State,865,1904,317,442,627,290,1131,441
Utah Valley,926,1919,267,538,725,351,1297,474
Utah,876,1903,322,497,655,266,1174,414
Valparaiso,781,1740,213,477,674,294,1115,469
Vanderbilt,775,1775,289,477,642,311,1081,379
Vermont,879,1803,260,569,755,269,1160,388
Villanova NCAA,1220,2440,464,559,718,380,1436,426
Virginia Commonwealth,921,2013,274,391,566,342,1203,446
VMI,688,1729,225,353,477,283,1028,442
Virginia Tech NCAA,931,1865,289,483,681,244,1078,395
Virginia NCAA,848,1844,247,340,451,282,1099,290
Wagner,839,1963,269,501,705,446,1290,451
Wake Forest,801,1826,241,430,583,337,1108,407
Washington State,801,1795,341,327,444,258,1007,421
Washington,900,1963,230,505,720,328,1114,453
Weber State,846,1722,280,462,603,182,1039,368
West Virginia NCAA,1036,2374,322,570,744,513,1401,420
Western Carolina,774,1885,234,408,597,371,1101,476
Western Illinois,749,1607,188,326,456,196,990,350
Western Kentucky,1075,2183,206,623,869,369,1356,441
Western Michigan,845,1926,233,479,659,356,1130,342
Wichita State NCAA,957,2009,300,517,700,404,1336,385
William & Mary,910,1782,337,479,591,209,1020,382
Winthrop,859,1803,296,450,623,283,1125,429
Wisconsin,793,1770,216,404,578,299,1010,353
Wofford,901,1906,357,419,538,272,1099,413
Wright State NCAA,873,2019,237,517,723,354,1266,459
Wyoming,873,1959,304,583,790,231,1148,449
Xavier NCAA,1011,2055,274,657,843,340,1342,441
Yale,831,1797,252,398,551,275,1052,407
Youngstown State,902,2110,235,371,583,457,1159,460
