Rk,School,SOS,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
138,Jacksonville,-6.12,897,1993,202,409,622,330,1180,472
139,James Madison,-2.15,812,1933,231,486,667,361,1148,383
140,Kansas State NCAA,8.74,937,2025,254,502,684,299,1136,423
141,Kansas NCAA,11.87,1165,2366,391,453,640,372,1388,456
142,Kennesaw State,-4.31,805,1771,160,412,597,306,987,409
143,Kent State,-1.75,871,2049,255,485,666,390,1220,442
144,Kentucky NCAA,10.73,998,2115,195,649,930,439,1431,480
145,La Salle,2.54,817,1905,234,465,591,292,1124,374
146,Lafayette,-6.04,777,1709,263,390,507,210,1026,411
147,Lamar,-7.22,873,2026,257,497,757,425,1246,430
148,Lehigh,-5.66,835,1845,293,373,480,269,1074,380
149,Liberty,-6.23,899,1948,300,523,660,269,1239,438
150,Lipscomb NCAA,-3.80,924,2040,267,593,826,346,1276,493
151,Long Beach State,0.89,866,1917,196,557,765,382,1195,501
152,Long Island University NCAA,-8.19,935,2055,279,547,786,367,1327,496
153,Longwood,-4.31,728,1764,226,406,591,263,1070,516
154,Louisiana,-2.54,971,2093,297,590,775,435,1325,455
155,Louisiana-Monroe,-3.31,811,1863,288,325,453,294,1077,380
156,Louisiana State,8.03,916,1926,268,459,628,317,1101,382
157,Louisiana Tech,-0.12,838,1877,287,505,697,313,1137,405
158,Louisville,9.08,969,2140,280,503,683,358,1317,425
159,Loyola (IL) NCAA,1.81,995,1963,277,454,626,229,1222,472
160,Loyola Marymount,1.09,803,1813,200,421,593,377,1011,407
161,Loyola (MD),-5.25,797,1820,163,397,608,332,1076,414
162,Maine,-3.28,765,1873,225,385,559,304,1131,496
163,Manhattan,-4.15,737,1661,239,434,625,319,1030,482
164,Marist,-3.57,761,1710,280,437,612,233,1041,488
165,Marquette,9.70,989,2081,385,483,600,314,1114,431
166,Marshall NCAA,0.44,1042,2232,362,571,747,288,1287,476
167,Maryland-Baltimore County NCAA,-3.84,926,2088,364,414,641,347,1245,440
168,Maryland-Eastern Shore,-7.57,710,1844,206,366,542,347,1065,417
169,Maryland,7.94,811,1696,229,487,645,305,1149,438
170,Massachusetts-Lowell,-5.78,791,1719,215,489,690,282,969,405
171,Massachusetts,1.10,861,1918,293,359,481,300,1084,423
172,McNeese State,-6.10,780,1787,205,419,590,339,1144,416
173,Memphis,2.16,828,1832,201,551,798,391,1166,467
174,Mercer,-3.50,878,1854,288,517,680,325,1176,424
175,Miami (FL) NCAA,6.96,875,1881,247,362,547,317,1113,367
176,Miami (OH),-1.15,886,2006,301,376,548,336,1232,453
177,Michigan State NCAA,7.10,991,1996,290,535,716,401,1439,459
178,Michigan NCAA,9.41,1092,2335,361,474,717,336,1367,379
179,Middle Tennessee,2.83,902,1914,241,434,585,346,1182,413
180,Milwaukee,-4.25,834,1872,235,356,528,289,1146,412
181,Minnesota,6.91,850,1971,218,487,692,371,1221,352
182,Mississippi State,6.82,1000,2151,256,460,666,398,1335,483
183,Mississippi Valley State,-8.13,758,1979,171,388,575,393,1138,421
184,Mississippi,9.16,841,1999,251,493,675,393,1215,365
185,Missouri-Kansas City,-1.02,756,1859,284,455,640,259,1018,411
186,Missouri State,0.45,851,1953,234,377,527,389,1276,382
187,Missouri NCAA,9.19,794,1765,306,505,688,332,1225,469
188,Monmouth,-1.24,787,1718,223,539,758,276,1115,473
189,Montana State,-3.53,817,1929,257,543,746,358,1168,399
190,Montana NCAA,-2.25,944,2021,186,551,780,400,1258,422
191,Morehead State,-1.91,712,1655,204,415,592,338,1041,456
192,Morgan State,-11.97,787,1883,161,538,742,421,1187,435
193,Mount St. Mary's,-8.05,809,1778,323,390,532,212,918,351
194,Murray State NCAA,-3.53,870,1803,271,504,687,340,1186,384
195,Navy,-7.22,771,1737,206,451,627,342,1113,453
196,Omaha,0.33,877,1913,254,365,517,280,1044,409
197,Nebraska,7.32,820,1906,232,514,716,356,1191,362
198,Nevada-Las Vegas,1.87,978,2000,185,612,868,393,1333,473
199,Nevada NCAA,4.93,1049,2238,354,603,812,339,1316,357
200,New Hampshire,-4.32,725,1803,252,401,544,352,1189,362
201,New Mexico State NCAA,-1.10,963,2104,258,388,603,427,1402,429
202,New Mexico,3.30,939,2065,367,550,708,315,1073,422
203,New Orleans,-5.78,815,1798,159,508,755,367,1128,498
204,Niagara,-4.21,944,2124,272,588,808,390,1286,373
205,Nicholls State,-5.86,941,1994,260,499,696,353,1189,490
206,NJIT,-5.53,808,1803,236,396,579,331,1063,399
207,Norfolk State,-10.18,858,1992,254,429,639,411,1270,507
208,North Carolina-Asheville,-3.57,912,1921,277,456,615,280,1152,468
209,North Carolina A&T,-11.20,929,2010,213,552,776,344,1252,482
210,North Carolina Central NCAA,-12.31,949,2060,212,410,597,410,1336,495
211,North Carolina-Greensboro NCAA,-3.87,924,2075,331,383,549,417,1307,481
212,North Carolina State NCAA,6.70,965,2054,263,489,703,400,1176,400
213,North Carolina-Wilmington,-1.15,920,2109,244,458,664,441,1310,414
214,North Carolina NCAA,11.78,1105,2417,305,503,677,511,1570,445
215,North Dakota State,-1.58,837,1783,294,414,544,231,1102,402
216,North Dakota,-0.20,863,1879,233,468,663,225,984,417
217,North Florida,-1.74,939,2058,357,433,570,313,1159,478
218,North Texas,-0.40,1012,2243,302,502,761,405,1451,495
219,Northeastern,-1.61,859,1776,302,452,617,258,1083,450
220,Northern Arizona,-1.03,698,1750,178,526,750,317,1074,497
