Rank,School,eFG%,TOV%,ORB%,FT/FGA
190,Montana NCAA,.513,15.0,33.1,.273
191,Morehead State,.492,19.1,32.5,.251
192,Morgan State,.461,16.3,34.7,.286
193,Mount St. Mary's,.546,14.7,20.4,.219
194,Murray State NCAA,.558,15.3,33.0,.280
195,Navy,.503,18.2,32.1,.260
196,Omaha,.525,15.9,25.5,.191
197,Nebraska,.491,13.9,30.1,.270
198,Nevada-Las Vegas,.535,16.4,34.4,.306
199,Nevada NCAA,.548,12.0,26.2,.269
200,New Hampshire,.472,14.9,30.6,.222
201,New Mexico State NCAA,.519,15.2,34.2,.184
202,New Mexico,.544,14.9,26.3,.266
203,New Orleans,.497,18.8,32.8,.283
204,Niagara,.508,12.9,30.5,.277
205,Nicholls State,.537,17.4,30.5,.250
206,NJIT,.514,16.1,30.6,.220
207,Norfolk State,.494,18.1,33.0,.215
208,North Carolina-Asheville,.547,17.5,25.7,.237
209,North Carolina A&T,.515,16.8,28.5,.275
210,North Carolina Central NCAA,.512,17.4,33.6,.199
211,North Carolina-Greensboro NCAA,.525,17.1,34.1,.185
212,North Carolina State NCAA,.534,14.3,33.3,.238
213,North Carolina-Wilmington,.494,14.6,33.7,.217
214,North Carolina NCAA,.520,14.0,37.4,.208
215,North Dakota State,.552,16.5,22.7,.232
216,North Dakota,.521,16.0,20.2,.249
217,North Florida,.543,17.0,26.1,.210
218,North Texas,.519,16.0,29.4,.224
219,Northeastern,.569,17.9,25.5,.255
220,Northern Arizona,.450,19.1,27.0,.301
221,Northern Colorado,.542,14.6,25.6,.230
222,Northern Illinois,.502,14.9,28.2,.243
223,Northern Iowa,.487,15.6,24.3,.226
224,Northern Kentucky,.543,15.5,29.1,.228
225,Northwestern State,.450,20.2,32.1,.214
226,Northwestern,.497,15.3,29.5,.222
227,Notre Dame,.514,12.7,30.8,.238
228,Oakland,.520,15.9,28.1,.273
229,Ohio State NCAA,.541,14.9,29.8,.227
230,Ohio,.508,16.0,22.3,.218
231,Oklahoma State,.498,15.4,34.2,.244
232,Oklahoma NCAA,.535,15.2,28.3,.247
233,Old Dominion,.507,13.2,32.2,.228
234,Oral Roberts,.492,15.4,35.9,.176
235,Oregon State,.521,16.8,31.8,.274
236,Oregon,.533,14.9,31.0,.242
237,Pacific,.494,14.8,30.4,.292
238,Penn State,.526,15.0,31.7,.221
239,Pennsylvania NCAA,.533,14.8,23.6,.220
240,Pepperdine,.500,15.0,29.4,.248
241,Pittsburgh,.482,18.7,23.3,.222
242,Portland State,.508,13.8,34.7,.227
243,Portland,.521,15.9,19.7,.232
244,Prairie View,.496,16.0,31.3,.260
245,Presbyterian,.504,15.5,26.5,.199
246,Princeton,.540,15.1,22.5,.188
247,Providence NCAA,.496,15.1,28.7,.272
248,Purdue NCAA,.577,14.0,27.3,.265
249,Quinnipiac,.503,16.9,27.8,.261
250,Radford NCAA,.494,16.1,33.6,.223
251,Rhode Island NCAA,.511,13.1,30.8,.209
252,Rice,.480,18.3,28.1,.247
253,Richmond,.521,15.2,23.2,.213
254,Rider,.526,15.0,33.4,.256
255,Robert Morris,.474,17.9,31.3,.229
256,Rutgers,.442,14.5,33.7,.200
257,Sacramento State,.500,15.8,24.1,.197
258,Sacred Heart,.486,18.1,33.1,.196
259,Saint Francis (PA),.534,14.3,26.0,.260
260,Saint Joseph's,.488,12.3,23.5,.238
261,Saint Louis,.475,16.6,33.8,.302
262,Saint Mary's (CA),.587,13.7,29.2,.234
263,Saint Peter's,.492,17.3,27.1,.200
264,Sam Houston State,.486,16.1,32.5,.243
265,Samford,.550,17.0,24.9,.246
266,San Diego State NCAA,.519,14.6,31.8,.255
267,San Diego,.533,17.5,23.2,.277
268,San Francisco,.496,15.3,27.2,.199
269,San Jose State,.491,20.6,28.3,.239
270,Santa Clara,.498,15.4,23.6,.227
271,Savannah State,.483,14.3,27.8,.206
272,Seattle,.525,17.3,30.5,.261
273,Seton Hall NCAA,.529,15.2,34.0,.246
274,Siena,.482,18.7,31.3,.247
275,South Alabama,.492,18.5,26.2,.264
276,South Carolina State,.478,16.3,30.0,.253
277,South Carolina Upstate,.511,14.0,27.1,.163
278,South Carolina,.461,16.6,33.8,.295
279,South Dakota State NCAA,.554,12.3,24.7,.269
280,South Dakota,.533,13.5,29.4,.260
281,South Florida,.480,18.7,28.8,.240
282,Southeast Missouri State,.544,16.0,26.4,.274
283,Southeastern Louisiana,.519,17.3,30.4,.238
