Rank,Team,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Opp FG,Opp FGA,Opp FG%,Opp 2P,Opp 2PA,Opp 2P%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Opp PTS,gameid,Win?
242,savannah-state,200,17,55,0.309,10,22,0.455,7,33,0.212,20,30,0.667,9,25,34,8,6,2,20,14,61,28,65,0.431,17,30,0.567,11,35,0.314,9,12,0.75,10,29,39,19,8,3,20,26,76,1113201729,0
243,florida-gulf-coast,200,33,64,0.516,27,44,0.614,6,20,0.3,14,20,0.7,15,26,41,16,10,3,14,20,86,19,63,0.302,16,48,0.333,3,15,0.2,12,21,0.571,15,15,30,7,7,4,13,15,53,1113201730,1
244,siena,200,19,63,0.302,16,48,0.333,3,15,0.2,12,21,0.571,15,15,30,7,7,4,13,15,53,33,64,0.516,27,44,0.614,6,20,0.3,14,20,0.7,15,26,41,16,10,3,14,20,86,1113201730,0
245,morgan-state,200,20,50,0.4,15,38,0.395,5,12,0.417,18,25,0.72,11,22,33,13,7,3,8,18,63,16,46,0.348,12,30,0.4,4,16,0.25,17,20,0.85,6,23,29,11,2,4,12,22,53,1113201731,1
246,south-florida,200,16,46,0.348,12,30,0.4,4,16,0.25,17,20,0.85,6,23,29,11,2,4,12,22,53,20,50,0.4,15,38,0.395,5,12,0.417,18,25,0.72,11,22,33,13,7,3,8,18,63,1113201731,0
247,frostburg-state,200,16,61,0.262,15,45,0.333,1,16,0.063,12,18,0.667,11,17,28,7,11,3,16,18,45,32,65,0.492,24,46,0.522,8,19,0.421,17,25,0.68,15,35,50,11,6,3,13,17,89,1113201732,0
248,towson,200,32,65,0.492,24,46,0.522,8,19,0.421,17,25,0.68,15,35,50,11,6,3,13,17,89,16,61,0.262,15,45,0.333,1,16,0.063,12,18,0.667,11,17,28,7,11,3,16,18,45,1113201732,1
249,austin-peay,200,18,44,0.409,15,32,0.469,3,12,0.25,10,19,0.526,6,13,19,6,3,0,20,24,49,33,52,0.635,25,35,0.714,8,17,0.471,19,24,0.792,7,22,29,17,8,5,9,19,93,1113201733,0
250,virginia,200,33,52,0.635,25,35,0.714,8,17,0.471,19,24,0.792,7,22,29,17,8,5,9,19,93,18,44,0.409,15,32,0.469,3,12,0.25,10,19,0.526,6,13,19,6,3,0,20,24,49,1113201733,1
251,north-florida,200,32,77,0.416,15,37,0.405,17,40,0.425,4,4,1,16,25,41,22,5,4,16,13,85,37,72,0.514,32,56,0.571,5,16,0.313,16,24,0.667,13,23,36,26,10,6,9,11,95,1113201734,0
252,virginia-commonwealth,200,37,72,0.514,32,56,0.571,5,16,0.313,16,24,0.667,13,23,36,26,10,6,9,11,95,32,77,0.416,15,37,0.405,17,40,0.425,4,4,1,16,25,41,22,5,4,16,13,85,1113201734,1
253,chattanooga,200,19,54,0.352,12,32,0.375,7,22,0.318,2,6,0.333,3,15,18,10,3,2,17,20,47,32,64,0.5,25,47,0.532,7,17,0.412,18,24,0.75,14,32,46,19,10,1,13,15,89,1113201735,0
254,alabama-birmingham,200,32,64,0.5,25,47,0.532,7,17,0.412,18,24,0.75,14,32,46,19,10,1,13,15,89,19,54,0.352,12,32,0.375,7,22,0.318,2,6,0.333,3,15,18,10,3,2,17,20,47,1113201735,1
255,abilene-christian,200,25,49,0.51,22,32,0.688,3,17,0.176,16,20,0.8,6,14,20,11,4,2,14,24,69,28,50,0.56,21,36,0.583,7,14,0.5,20,26,0.769,9,20,29,9,7,1,14,19,83,1113201736,0
256,arkansas-state,200,28,50,0.56,21,36,0.583,7,14,0.5,20,26,0.769,9,20,29,9,7,1,14,19,83,25,49,0.51,22,32,0.688,3,17,0.176,16,20,0.8,6,14,20,11,4,2,14,24,69,1113201736,1
257,texas-am-corpus-christi,200,21,58,0.362,18,40,0.45,3,18,0.167,1,4,0.25,9,17,26,9,1,2,10,19,46,25,53,0.472,20,34,0.588,5,19,0.263,15,24,0.625,12,22,34,13,4,6,8,13,70,1113201737,0
258,baylor,200,25,53,0.472,20,34,0.588,5,19,0.263,15,24,0.625,12,22,34,13,4,6,8,13,70,21,58,0.362,18,40,0.45,3,18,0.167,1,4,0.25,9,17,26,9,1,2,10,19,46,1113201737,1
