Rank,Team,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Opp FG,Opp FGA,Opp FG%,Opp 2P,Opp 2PA,Opp 2P%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Opp PTS,gameid,Win?
6438,la-salle,200,24,62,0.387,15,36,0.417,9,26,0.346,12,16,0.75,11,25,36,17,7,3,17,16,69,30,68,0.441,24,53,0.453,6,15,0.4,14,16,0.875,15,27,42,13,9,4,14,15,80,207201811,0
6439,george-washington,200,30,68,0.441,24,53,0.453,6,15,0.4,14,16,0.875,15,27,42,13,9,4,14,15,80,24,62,0.387,15,36,0.417,9,26,0.346,12,16,0.75,11,25,36,17,7,3,17,16,69,207201811,1
6440,navy,200,23,50,0.46,14,27,0.519,9,23,0.391,14,18,0.778,8,28,36,15,8,2,9,9,69,12,43,0.279,9,18,0.5,3,25,0.12,7,12,0.583,3,20,23,7,4,5,13,15,34,207201812,1
6441,holy-cross,200,12,43,0.279,9,18,0.5,3,25,0.12,7,12,0.583,3,20,23,7,4,5,13,15,34,23,50,0.46,14,27,0.519,9,23,0.391,14,18,0.778,8,28,36,15,8,2,9,9,69,207201812,0
6442,army,200,22,62,0.355,16,34,0.471,6,28,0.214,4,5,0.8,4,16,20,9,6,4,13,16,54,28,54,0.519,18,34,0.529,10,20,0.5,15,16,0.938,5,32,37,18,9,6,14,9,81,207201813,0
6443,lafayette,200,28,54,0.519,18,34,0.529,10,20,0.5,15,16,0.938,5,32,37,18,9,6,14,9,81,22,62,0.355,16,34,0.471,6,28,0.214,4,5,0.8,4,16,20,9,6,4,13,16,54,207201813,1
6444,north-carolina-asheville,200,24,47,0.511,15,27,0.556,9,20,0.45,21,27,0.778,7,21,28,15,9,3,17,17,78,26,57,0.456,20,36,0.556,6,21,0.286,15,20,0.75,8,15,23,10,7,5,15,18,73,207201814,1
6445,longwood,200,26,57,0.456,20,36,0.556,6,21,0.286,15,20,0.75,8,15,23,10,7,5,15,18,73,24,47,0.511,15,27,0.556,9,20,0.45,21,27,0.778,7,21,28,15,9,3,17,17,78,207201814,0
6446,american,200,24,52,0.462,18,35,0.514,6,17,0.353,15,21,0.714,4,13,17,9,5,3,9,17,69,25,46,0.543,22,38,0.579,3,8,0.375,19,29,0.655,8,21,29,10,3,5,14,20,72,207201815,0
6447,loyola-md,200,25,46,0.543,22,38,0.579,3,8,0.375,19,29,0.655,8,21,29,10,3,5,14,20,72,24,52,0.462,18,35,0.514,6,17,0.353,15,21,0.714,4,13,17,9,5,3,9,17,69,207201815,1
6448,wake-forest,200,31,65,0.477,22,43,0.512,9,22,0.409,10,15,0.667,10,22,32,18,6,2,12,26,81,26,55,0.473,17,33,0.515,9,22,0.409,26,37,0.703,8,24,32,14,7,5,9,15,87,207201816,0
6449,miami-fl,200,26,55,0.473,17,33,0.515,9,22,0.409,26,37,0.703,8,24,32,14,7,5,9,15,87,31,65,0.477,22,43,0.512,9,22,0.409,10,15,0.667,10,22,32,18,6,2,12,26,81,207201816,1
6450,lamar,200,27,62,0.435,19,38,0.5,8,24,0.333,17,25,0.68,11,19,30,12,11,4,14,28,79,24,48,0.5,21,40,0.525,3,8,0.375,24,34,0.706,9,24,33,9,4,6,18,24,75,207201817,1
6451,northwestern-state,200,24,48,0.5,21,40,0.525,3,8,0.375,24,34,0.706,9,24,33,9,4,6,18,24,75,27,62,0.435,19,38,0.5,8,24,0.333,17,25,0.68,11,19,30,12,11,4,14,28,79,207201817,0
6452,high-point,200,24,55,0.436,18,39,0.462,6,16,0.375,7,12,0.583,8,19,27,11,3,5,9,14,61,21,57,0.368,13,33,0.394,8,24,0.333,10,13,0.769,13,22,35,12,4,5,8,11,60,207201818,1
6453,radford,200,21,57,0.368,13,33,0.394,8,24,0.333,10,13,0.769,13,22,35,12,4,5,8,11,60,24,55,0.436,18,39,0.462,6,16,0.375,7,12,0.583,8,19,27,11,3,5,9,14,61,207201818,0
6454,texas-am-corpus-christi,200,23,49,0.469,15,31,0.484,8,18,0.444,10,15,0.667,6,22,28,10,4,3,13,19,64,22,54,0.407,10,30,0.333,12,24,0.5,10,16,0.625,10,23,33,18,6,0,13,18,66,207201819,0
6455,sam-houston-state,200,22,54,0.407,10,30,0.333,12,24,0.5,10,16,0.625,10,23,33,18,6,0,13,18,66,23,49,0.469,15,31,0.484,8,18,0.444,10,15,0.667,6,22,28,10,4,3,13,19,64,207201819,1
6456,marquette,200,28,58,0.483,16,39,0.41,12,19,0.632,20,23,0.87,8,31,39,14,0,0,11,22,88,27,63,0.429,16,40,0.4,11,23,0.478,20,33,0.606,9,20,29,15,8,2,4,20,85,207201820,1
6457,seton-hall,200,27,63,0.429,16,40,0.4,11,23,0.478,20,33,0.606,9,20,29,15,8,2,4,20,85,28,58,0.483,16,39,0.41,12,19,0.632,20,23,0.87,8,31,39,14,0,0,11,22,88,207201820,0
6458,saint-louis,200,20,54,0.37,16,36,0.444,4,18,0.222,12,23,0.522,14,26,40,12,0,3,16,19,56,27,58,0.466,16,36,0.444,11,22,0.5,14,17,0.824,5,23,28,14,10,3,4,19,79,207201821,0
6459,st-bonaventure,200,27,58,0.466,16,36,0.444,11,22,0.5,14,17,0.824,5,23,28,14,10,3,4,19,79,20,54,0.37,16,36,0.444,4,18,0.222,12,23,0.522,14,26,40,12,0,3,16,19,56,207201821,1
6460,east-carolina,200,30,67,0.448,22,36,0.611,8,31,0.258,5,8,0.625,9,27,36,11,3,2,10,20,73,31,68,0.456,23,42,0.548,8,26,0.308,20,26,0.769,12,26,38,17,5,5,5,12,90,207201822,0
6461,temple,200,31,68,0.456,23,42,0.548,8,26,0.308,20,26,0.769,12,26,38,17,5,5,5,12,90,30,67,0.448,22,36,0.611,8,31,0.258,5,8,0.625,9,27,36,11,3,2,10,20,73,207201822,1
6462,st-johns-ny,200,27,55,0.491,21,40,0.525,6,15,0.4,19,24,0.792,5,26,31,13,4,3,8,17,79,28,67,0.418,20,34,0.588,8,33,0.242,11,12,0.917,7,22,29,11,3,3,8,19,75,207201823,1
6463,villanova,200,28,67,0.418,20,34,0.588,8,33,0.242,11,12,0.917,7,22,29,11,3,3,8,19,75,27,55,0.491,21,40,0.525,6,15,0.4,19,24,0.792,5,26,31,13,4,3,8,17,79,207201823,0
6464,presbyterian,200,21,57,0.368,17,38,0.447,4,19,0.211,3,9,0.333,6,22,28,5,11,2,15,14,49,23,50,0.46,13,22,0.591,10,28,0.357,7,9,0.778,5,23,28,14,7,8,17,14,63,207201824,0
6465,winthrop,200,23,50,0.46,13,22,0.591,10,28,0.357,7,9,0.778,5,23,28,14,7,8,17,14,63,21,57,0.368,17,38,0.447,4,19,0.211,3,9,0.333,6,22,28,5,11,2,15,14,49,207201824,1
6466,samford,200,27,59,0.458,16,31,0.516,11,28,0.393,14,15,0.933,3,17,20,18,9,1,9,20,79,31,54,0.574,17,25,0.68,14,29,0.483,16,23,0.696,7,27,34,22,4,2,12,16,92,207201825,0
6467,wofford,200,31,54,0.574,17,25,0.68,14,29,0.483,16,23,0.696,7,27,34,22,4,2,12,16,92,27,59,0.458,16,31,0.516,11,28,0.393,14,15,0.933,3,17,20,18,9,1,9,20,79,207201825,1
6468,nicholls-state,200,26,60,0.433,17,33,0.515,9,27,0.333,8,15,0.533,16,21,37,13,8,1,15,18,69,25,60,0.417,22,39,0.564,3,21,0.143,12,16,0.75,14,20,34,7,8,2,13,15,65,207201826,1
6469,abilene-christian,200,25,60,0.417,22,39,0.564,3,21,0.143,12,16,0.75,14,20,34,7,8,2,13,15,65,26,60,0.433,17,33,0.515,9,27,0.333,8,15,0.533,16,21,37,13,8,1,15,18,69,207201826,0
6470,valparaiso,200,23,52,0.442,15,26,0.577,8,26,0.308,5,5,1,5,19,24,9,7,5,18,22,59,22,47,0.468,19,41,0.463,3,6,0.5,16,23,0.696,8,23,31,12,7,1,15,11,63,207201827,0
6471,evansville,200,22,47,0.468,19,41,0.463,3,6,0.5,16,23,0.696,8,23,31,12,7,1,15,11,63,23,52,0.442,15,26,0.577,8,26,0.308,5,5,1,5,19,24,9,7,5,18,22,59,207201827,1
6472,central-arkansas,200,36,64,0.563,28,45,0.622,8,19,0.421,20,23,0.87,5,34,39,21,4,13,15,17,100,31,80,0.388,24,54,0.444,7,26,0.269,11,21,0.524,9,18,27,10,8,3,7,17,80,207201828,1
6473,houston-baptist,200,31,80,0.388,24,54,0.444,7,26,0.269,11,21,0.524,9,18,27,10,8,3,7,17,80,36,64,0.563,28,45,0.622,8,19,0.421,20,23,0.87,5,34,39,21,4,13,15,17,100,207201828,0
6474,southeastern-louisiana,200,32,64,0.5,19,35,0.543,13,29,0.448,9,14,0.643,8,26,34,18,4,3,6,18,86,22,60,0.367,13,39,0.333,9,21,0.429,15,19,0.789,13,20,33,8,3,5,11,15,68,207201829,1
6475,incarnate-word,200,22,60,0.367,13,39,0.333,9,21,0.429,15,19,0.789,13,20,33,8,3,5,11,15,68,32,64,0.5,19,35,0.543,13,29,0.448,9,14,0.643,8,26,34,18,4,3,6,18,86,207201829,0
6476,drake,200,21,61,0.344,16,42,0.381,5,19,0.263,10,12,0.833,9,24,33,12,6,2,9,9,57,30,60,0.5,22,38,0.579,8,22,0.364,4,5,0.8,5,29,34,21,5,3,9,13,72,207201830,0
6477,loyola-il,200,30,60,0.5,22,38,0.579,8,22,0.364,4,5,0.8,5,29,34,21,5,3,9,13,72,21,61,0.344,16,42,0.381,5,19,0.263,10,12,0.833,9,24,33,12,6,2,9,9,57,207201830,1
6478,bradley,200,19,45,0.422,17,32,0.531,2,13,0.154,25,29,0.862,2,22,24,4,5,5,8,24,65,20,46,0.435,12,25,0.48,8,21,0.381,26,36,0.722,9,23,32,10,6,2,11,24,74,207201831,0
6479,northern-iowa,200,20,46,0.435,12,25,0.48,8,21,0.381,26,36,0.722,9,23,32,10,6,2,11,24,74,19,45,0.422,17,32,0.531,2,13,0.154,25,29,0.862,2,22,24,4,5,5,8,24,65,207201831,1
6480,ohio-state,200,24,57,0.421,18,39,0.462,6,18,0.333,10,16,0.625,5,21,26,15,7,1,7,20,64,20,47,0.426,12,27,0.444,8,20,0.4,15,19,0.789,2,26,28,14,5,4,12,14,63,207201832,1
6481,purdue,200,20,47,0.426,12,27,0.444,8,20,0.4,15,19,0.789,2,26,28,14,5,4,12,14,63,24,57,0.421,18,39,0.462,6,18,0.333,10,16,0.625,5,21,26,15,7,1,7,20,64,207201832,0
6482,kansas-state,200,29,54,0.537,23,37,0.622,6,17,0.353,3,5,0.6,5,17,22,15,10,4,12,16,67,24,58,0.414,16,29,0.552,8,29,0.276,8,12,0.667,15,20,35,11,7,2,16,13,64,207201833,1
6483,texas,200,24,58,0.414,16,29,0.552,8,29,0.276,8,12,0.667,15,20,35,11,7,2,16,13,64,29,54,0.537,23,37,0.622,6,17,0.353,3,5,0.6,5,17,22,15,10,4,12,16,67,207201833,0
6484,georgia,200,26,60,0.433,24,51,0.471,2,9,0.222,12,19,0.632,12,13,25,11,7,2,10,16,66,27,49,0.551,16,25,0.64,11,24,0.458,16,16,1,4,23,27,10,6,2,15,19,81,207201834,0
6485,vanderbilt,200,27,49,0.551,16,25,0.64,11,24,0.458,16,16,1,4,23,27,10,6,2,15,19,81,26,60,0.433,24,51,0.471,2,9,0.222,12,19,0.632,12,13,25,11,7,2,10,16,66,207201834,1
6486,texas-am,200,33,61,0.541,24,43,0.558,9,18,0.5,6,9,0.667,9,20,29,19,7,3,16,20,81,26,50,0.52,19,29,0.655,7,21,0.333,21,24,0.875,3,17,20,14,7,4,14,13,80,207201835,1
6487,auburn,200,26,50,0.52,19,29,0.655,7,21,0.333,21,24,0.875,3,17,20,14,7,4,14,13,80,33,61,0.541,24,43,0.558,9,18,0.5,6,9,0.667,9,20,29,19,7,3,16,20,81,207201835,0
6488,creighton,200,30,62,0.484,18,33,0.545,12,29,0.414,4,7,0.571,8,23,31,16,7,5,14,19,76,28,60,0.467,21,41,0.512,7,19,0.368,12,19,0.632,10,25,35,16,5,4,12,13,75,207201836,1
6489,depaul,200,28,60,0.467,21,41,0.512,7,19,0.368,12,19,0.632,10,25,35,16,5,4,12,13,75,30,62,0.484,18,33,0.545,12,29,0.414,4,7,0.571,8,23,31,16,7,5,14,19,76,207201836,0
6490,virginia-commonwealth,200,30,58,0.517,24,37,0.649,6,21,0.286,10,18,0.556,7,26,33,17,7,5,17,19,76,28,59,0.475,25,45,0.556,3,14,0.214,18,23,0.783,6,24,30,9,12,1,12,17,77,207201837,0
6491,richmond,200,28,59,0.475,25,45,0.556,3,14,0.214,18,23,0.783,6,24,30,9,12,1,12,17,77,30,58,0.517,24,37,0.649,6,21,0.286,10,18,0.556,7,26,33,17,7,5,17,19,76,207201837,1
6492,iowa-state,200,22,57,0.386,18,43,0.419,4,14,0.286,10,17,0.588,14,20,34,8,5,3,15,24,58,29,59,0.492,27,48,0.563,2,11,0.182,16,19,0.842,8,21,29,15,7,5,8,16,76,207201838,0
6493,texas-tech,200,29,59,0.492,27,48,0.563,2,11,0.182,16,19,0.842,8,21,29,15,7,5,8,16,76,22,57,0.386,18,43,0.419,4,14,0.286,10,17,0.588,14,20,34,8,5,3,15,24,58,207201838,1
6494,north-carolina-state,200,27,62,0.435,17,31,0.548,10,31,0.323,11,16,0.688,11,20,31,17,4,4,15,23,75,33,52,0.635,30,42,0.714,3,10,0.3,16,29,0.552,4,22,26,12,6,0,11,16,85,207201839,0
6495,virginia-tech,200,33,52,0.635,30,42,0.714,3,10,0.3,16,29,0.552,4,22,26,12,6,0,11,16,85,27,62,0.435,17,31,0.548,10,31,0.323,11,16,0.688,11,20,31,17,4,4,15,23,75,207201839,1
6496,utah-state,172,19,43,0.442,12,27,0.444,7,16,0.438,13,16,0.813,2,21,23,8,0,0,9,17,58,29,58,0.5,21,33,0.636,8,25,0.32,17,22,0.773,6,27,33,15,9,3,8,20,83,207201840,0
6497,wyoming,200,29,58,0.5,21,33,0.636,8,25,0.32,17,22,0.773,6,27,33,15,9,3,8,20,83,19,43,0.442,12,27,0.444,7,16,0.438,13,16,0.813,2,21,23,8,0,0,9,17,58,207201840,1
6498,cal-state-northridge,200,19,55,0.345,14,38,0.368,5,17,0.294,13,17,0.765,10,15,25,9,4,3,12,13,56,31,61,0.508,25,43,0.581,6,18,0.333,9,11,0.818,15,22,37,10,5,7,12,14,77,207201841,0
6499,california-irvine,200,31,61,0.508,25,43,0.581,6,18,0.333,9,11,0.818,15,22,37,10,5,7,12,14,77,19,55,0.345,14,38,0.368,5,17,0.294,13,17,0.765,10,15,25,9,4,3,12,13,56,207201841,1
6500,california,200,22,60,0.367,17,44,0.386,5,16,0.313,15,22,0.682,15,17,32,3,10,1,13,24,64,22,44,0.5,17,28,0.607,5,16,0.313,19,29,0.655,8,21,29,12,5,5,19,19,68,207201842,0
6501,colorado,200,22,44,0.5,17,28,0.607,5,16,0.313,19,29,0.655,8,21,29,12,5,5,19,19,68,22,60,0.367,17,44,0.386,5,16,0.313,15,22,0.682,15,17,32,3,10,1,13,24,64,207201842,1
6502,california-riverside,200,24,56,0.429,14,31,0.452,10,25,0.4,6,8,0.75,5,20,25,10,8,6,11,17,64,18,54,0.333,13,35,0.371,5,19,0.263,19,22,0.864,13,24,37,11,4,1,16,16,60,207201843,1
6503,hawaii,200,18,54,0.333,13,35,0.371,5,19,0.263,19,22,0.864,13,24,37,11,4,1,16,16,60,24,56,0.429,14,31,0.452,10,25,0.4,6,8,0.75,5,20,25,10,8,6,11,17,64,207201843,0
6504,nevada-las-vegas,200,32,63,0.508,25,42,0.595,7,21,0.333,15,19,0.789,10,29,39,13,4,3,15,21,86,26,68,0.382,18,40,0.45,8,28,0.286,18,21,0.857,11,19,30,14,7,2,9,20,78,207201844,1
6505,nevada,200,26,68,0.382,18,40,0.45,8,28,0.286,18,21,0.857,11,19,30,14,7,2,9,20,78,32,63,0.508,25,42,0.595,7,21,0.333,15,19,0.789,10,29,39,13,4,3,15,21,86,207201844,0
6506,bryant,200,26,50,0.52,17,29,0.586,9,21,0.429,15,27,0.556,8,17,25,15,5,1,17,18,76,33,66,0.5,17,29,0.586,16,37,0.432,14,19,0.737,13,21,34,21,7,2,10,19,96,20820181,0
6507,wagner,200,33,66,0.5,17,29,0.586,16,37,0.432,14,19,0.737,13,21,34,21,7,2,10,19,96,26,50,0.52,17,29,0.586,9,21,0.429,15,27,0.556,8,17,25,15,5,1,17,18,76,20820181,1
6508,vermont,200,24,52,0.462,20,40,0.5,4,12,0.333,20,20,1,6,21,27,15,0,4,8,14,72,27,61,0.443,22,46,0.478,5,15,0.333,8,11,0.727,9,20,29,19,4,3,6,19,67,20820182,1
6509,albany-ny,200,27,61,0.443,22,46,0.478,5,15,0.333,8,11,0.727,9,20,29,19,4,3,6,19,67,24,52,0.462,20,40,0.5,4,12,0.333,20,20,1,6,21,27,15,0,4,8,14,72,20820182,0
6510,maryland-baltimore-county,200,29,59,0.492,21,37,0.568,8,22,0.364,12,14,0.857,6,24,30,18,6,6,5,15,78,26,62,0.419,18,38,0.474,8,24,0.333,8,12,0.667,12,26,38,16,0,2,11,15,68,20820183,1
6511,binghamton,200,26,62,0.419,18,38,0.474,8,24,0.333,8,12,0.667,12,26,38,16,0,2,11,15,68,29,59,0.492,21,37,0.568,8,22,0.364,12,14,0.857,6,24,30,18,6,6,5,15,78,20820183,0
6512,siena,200,21,57,0.368,19,40,0.475,2,17,0.118,21,28,0.75,11,19,30,8,3,4,14,23,65,31,64,0.484,22,36,0.611,9,28,0.321,18,25,0.72,10,23,33,16,6,2,11,24,89,20820184,0
6513,canisius,200,31,64,0.484,22,36,0.611,9,28,0.321,18,25,0.72,10,23,33,16,6,2,11,24,89,21,57,0.368,19,40,0.475,2,17,0.118,21,28,0.75,11,19,30,8,3,4,14,23,65,20820184,1
6514,mount-st-marys,200,27,52,0.519,18,27,0.667,9,25,0.36,8,11,0.727,3,20,23,10,6,5,12,13,71,19,51,0.373,11,28,0.393,8,23,0.348,11,16,0.688,11,22,33,10,4,5,16,13,57,20820185,1
6515,central-connecticut-state,200,19,51,0.373,11,28,0.393,8,23,0.348,11,16,0.688,11,22,33,10,4,5,16,13,57,27,52,0.519,18,27,0.667,9,25,0.36,8,11,0.727,3,20,23,10,6,5,12,13,71,20820185,0
6516,citadel,200,24,58,0.414,15,24,0.625,9,34,0.265,25,30,0.833,7,15,22,15,8,2,9,18,82,29,51,0.569,18,26,0.692,11,25,0.44,16,20,0.8,5,24,29,18,5,4,14,23,85,20820186,0
6517,chattanooga,200,29,51,0.569,18,26,0.692,11,25,0.44,16,20,0.8,5,24,29,18,5,4,14,23,85,24,58,0.414,15,24,0.625,9,34,0.265,25,30,0.833,7,15,22,15,8,2,9,18,82,20820186,1
6518,pittsburgh,200,18,46,0.391,13,31,0.419,5,15,0.333,7,15,0.467,5,22,27,7,5,3,14,11,48,27,59,0.458,15,32,0.469,12,27,0.444,6,9,0.667,10,25,35,17,5,5,8,10,72,20820187,0
6519,clemson,200,27,59,0.458,15,32,0.469,12,27,0.444,6,9,0.667,10,25,35,17,5,5,8,10,72,18,46,0.391,13,31,0.419,5,15,0.333,7,15,0.467,5,22,27,7,5,3,14,11,48,20820187,1
6520,william-mary,200,29,56,0.518,22,35,0.629,7,21,0.333,12,13,0.923,5,24,29,17,2,4,15,23,77,26,55,0.473,18,31,0.581,8,24,0.333,22,29,0.759,4,20,24,11,9,3,6,15,82,20820188,0
6521,college-of-charleston,200,26,55,0.473,18,31,0.581,8,24,0.333,22,29,0.759,4,20,24,11,9,3,6,15,82,29,56,0.518,22,35,0.629,7,21,0.333,12,13,0.923,5,24,29,17,2,4,15,23,77,20820188,1
6522,northeastern,200,23,48,0.479,12,22,0.545,11,26,0.423,13,18,0.722,6,14,20,11,7,0,13,14,70,27,51,0.529,25,40,0.625,2,11,0.182,11,12,0.917,9,22,31,7,7,0,14,17,67,20820189,1
6523,delaware,200,27,51,0.529,25,40,0.625,2,11,0.182,11,12,0.917,9,22,31,7,7,0,14,17,67,23,48,0.479,12,22,0.545,11,26,0.423,13,18,0.722,6,14,20,11,7,0,13,14,70,20820189,0
6524,towson,225,39,77,0.506,32,61,0.525,7,16,0.438,9,11,0.818,17,21,38,15,6,4,14,21,94,31,66,0.47,23,37,0.622,8,29,0.276,22,29,0.759,13,15,28,13,6,5,9,17,92,208201810,1
6525,drexel,225,31,66,0.47,23,37,0.622,8,29,0.276,22,29,0.759,13,15,28,13,6,5,9,17,92,39,77,0.506,32,61,0.525,7,16,0.438,9,11,0.818,17,21,38,15,6,4,14,21,94,208201810,0
6526,hofstra,200,26,59,0.441,21,40,0.525,5,19,0.263,10,16,0.625,11,26,37,4,7,2,9,14,67,19,53,0.358,14,29,0.483,5,24,0.208,5,7,0.714,5,22,27,15,3,1,13,15,48,208201811,1
6527,elon,200,19,53,0.358,14,29,0.483,5,24,0.208,5,7,0.714,5,22,27,15,3,1,13,15,48,26,59,0.441,21,40,0.525,5,19,0.263,10,16,0.625,11,26,37,4,7,2,9,14,67,208201811,0
6528,sacred-heart,200,25,61,0.41,19,40,0.475,6,21,0.286,11,17,0.647,14,21,35,15,5,4,13,12,67,30,58,0.517,21,36,0.583,9,22,0.409,8,10,0.8,7,23,30,12,7,6,10,13,77,208201812,0
6529,fairleigh-dickinson,200,30,58,0.517,21,36,0.583,9,22,0.409,8,10,0.8,7,23,30,12,7,6,10,13,77,25,61,0.41,19,40,0.475,6,21,0.286,11,17,0.647,14,21,35,15,5,4,13,12,67,208201812,1
6530,louisiana-monroe,225,24,66,0.364,12,31,0.387,12,35,0.343,6,13,0.462,10,34,44,11,7,2,12,20,66,22,65,0.338,11,30,0.367,11,35,0.314,9,18,0.5,10,33,43,10,7,5,13,17,64,208201813,1
6531,georgia-southern,225,22,65,0.338,11,30,0.367,11,35,0.314,9,18,0.5,10,33,43,10,7,5,13,17,64,24,66,0.364,12,31,0.387,12,35,0.343,6,13,0.462,10,34,44,11,7,2,12,20,66,208201813,0
6532,louisiana-lafayette,200,30,70,0.429,18,39,0.462,12,31,0.387,20,29,0.69,17,16,33,23,5,5,7,15,92,37,68,0.544,25,41,0.61,12,27,0.444,20,23,0.87,11,25,36,19,4,6,11,20,106,208201814,0
6533,georgia-state,200,37,68,0.544,25,41,0.61,12,27,0.444,20,23,0.87,11,25,36,19,4,6,11,20,106,30,70,0.429,18,39,0.462,12,31,0.387,20,29,0.69,17,16,33,23,5,5,7,15,92,208201814,1
6534,hampton,200,33,60,0.55,25,45,0.556,8,15,0.533,21,24,0.875,7,22,29,16,7,3,11,24,95,28,64,0.438,22,42,0.524,6,22,0.273,19,27,0.704,10,14,24,9,4,3,12,24,81,208201815,1
6535,howard,200,28,64,0.438,22,42,0.524,6,22,0.273,19,27,0.704,10,14,24,9,4,3,12,24,81,33,60,0.55,25,45,0.556,8,15,0.533,21,24,0.875,7,22,29,16,7,3,11,24,95,208201815,0
6536,monmouth,200,26,55,0.473,20,37,0.541,6,18,0.333,14,23,0.609,9,33,42,15,6,4,11,15,72,19,58,0.328,12,26,0.462,7,32,0.219,5,10,0.5,7,21,28,10,5,6,13,20,50,208201816,1
6537,iona,200,19,58,0.328,12,26,0.462,7,32,0.219,5,10,0.5,7,21,28,10,5,6,13,20,50,26,55,0.473,20,37,0.541,6,18,0.333,14,23,0.609,9,33,42,15,6,4,11,15,72,208201816,0
6538,cleveland-state,200,26,54,0.481,18,33,0.545,8,21,0.381,13,17,0.765,6,14,20,7,4,0,15,25,73,26,44,0.591,23,35,0.657,3,9,0.333,23,35,0.657,6,23,29,10,6,3,16,19,78,208201817,0
6539,iupui,200,26,44,0.591,23,35,0.657,3,9,0.333,23,35,0.657,6,23,29,10,6,3,16,19,78,26,54,0.481,18,33,0.545,8,21,0.381,13,17,0.765,6,14,20,7,4,0,15,25,73,208201817,1
6540,north-florida,200,30,61,0.492,23,35,0.657,7,26,0.269,14,17,0.824,6,27,33,20,4,4,14,20,81,30,76,0.395,24,65,0.369,6,11,0.545,23,30,0.767,17,23,40,16,8,2,8,16,89,208201818,0
6541,kennesaw-state,200,30,76,0.395,24,65,0.369,6,11,0.545,23,30,0.767,17,23,40,16,8,2,8,16,89,30,61,0.492,23,35,0.657,7,26,0.269,14,17,0.824,6,27,33,20,4,4,14,20,81,208201818,1
6542,jacksonville,200,23,59,0.39,18,41,0.439,5,18,0.278,8,12,0.667,6,18,24,8,3,2,11,21,59,28,58,0.483,18,35,0.514,10,23,0.435,16,22,0.727,10,29,39,12,8,4,15,16,82,208201819,0
6543,lipscomb,200,28,58,0.483,18,35,0.514,10,23,0.435,16,22,0.727,10,29,39,12,8,4,15,16,82,23,59,0.39,18,41,0.439,5,18,0.278,8,12,0.667,6,18,24,8,3,2,11,21,59,208201819,1
6544,saint-francis-pa,200,25,67,0.373,20,46,0.435,5,21,0.238,12,23,0.522,7,23,30,8,10,6,6,16,67,33,64,0.516,27,47,0.574,6,17,0.353,11,13,0.846,8,37,45,14,3,5,15,18,83,208201820,0
6545,long-island-university,200,33,64,0.516,27,47,0.574,6,17,0.353,11,13,0.846,8,37,45,14,3,5,15,18,83,25,67,0.373,20,46,0.435,5,21,0.238,12,23,0.522,7,23,30,8,10,6,6,16,67,208201820,1
6546,georgia-tech,200,20,55,0.364,13,42,0.31,7,13,0.538,7,10,0.7,8,26,34,10,6,3,20,16,54,27,54,0.5,15,34,0.441,12,20,0.6,11,19,0.579,5,27,32,18,15,5,10,13,77,208201821,0
6547,louisville,200,27,54,0.5,15,34,0.441,12,20,0.6,11,19,0.579,5,27,32,18,15,5,10,13,77,20,55,0.364,13,42,0.31,7,13,0.538,7,10,0.7,8,26,34,10,6,3,20,16,54,208201821,1
6548,stephen-f-austin,200,35,66,0.53,20,41,0.488,15,25,0.6,14,26,0.538,6,23,29,15,10,2,13,21,99,32,61,0.525,21,35,0.6,11,26,0.423,20,29,0.69,8,25,33,16,6,2,22,23,95,208201822,1
6549,mcneese-state,200,32,61,0.525,21,35,0.6,11,26,0.423,20,29,0.69,8,25,33,16,6,2,22,23,95,35,66,0.53,20,41,0.488,15,25,0.6,14,26,0.538,6,23,29,15,10,2,13,21,99,208201822,0
6550,rice,200,23,57,0.404,17,32,0.531,6,25,0.24,23,27,0.852,5,27,32,7,8,3,13,14,75,35,68,0.515,20,36,0.556,15,32,0.469,9,13,0.692,8,27,35,21,6,4,10,21,94,208201823,0
6551,middle-tennessee,200,35,68,0.515,20,36,0.556,15,32,0.469,9,13,0.692,8,27,35,21,6,4,10,21,94,23,57,0.404,17,32,0.531,6,25,0.24,23,27,0.852,5,27,32,7,8,3,13,14,75,208201823,1
6552,southeast-missouri-state,200,28,53,0.528,19,30,0.633,9,23,0.391,13,19,0.684,7,23,30,14,8,2,15,18,78,21,51,0.412,16,29,0.552,5,22,0.227,15,28,0.536,11,21,32,7,4,4,17,16,62,208201824,1
6553,morehead-state,200,21,51,0.412,16,29,0.552,5,22,0.227,15,28,0.536,11,21,32,7,4,4,17,16,62,28,53,0.528,19,30,0.633,9,23,0.391,13,19,0.684,7,23,30,14,8,2,15,18,78,208201824,0
6554,austin-peay,200,23,52,0.442,18,37,0.486,5,15,0.333,12,22,0.545,6,19,25,12,7,3,16,16,63,32,54,0.593,23,35,0.657,9,19,0.474,11,17,0.647,2,24,26,19,10,5,12,19,84,208201825,0
